Dataset,Model,Subset selector,Best fairness baseline,Subset accuracy,Baseline accuracy,Subset joint MI,Baseline joint MI,Joint-MI advantage,Accuracy delta
ACSIncome,gradient_boosting,Subset FA-CMIM_k8_lambda0.5,FairCFS_k8_lambda2.0,0.7933,0.7933,0.6609,0.6609,-0.0000,0.0000
ACSIncome,logistic_regression,Subset FA-CMIM_k8_lambda0.0,fair-mRMR_k8_lambda0.0,0.7647,0.7647,0.6609,0.6609,-0.0000,0.0000
ACSIncome,random_forest,Subset FA-CMIM_k8_lambda0.0,fair-mRMR_k8_lambda0.0,0.8047,0.8053,0.6609,0.6609,-0.0000,-0.0007
Adult,gradient_boosting,Subset FA-CMIM_k8_lambda1.0,ProxyRank_k8_lambda2.0,0.8320,0.8307,0.2518,0.2597,0.0079,0.0013
Adult,logistic_regression,Subset FA-CMIM_k8_lambda1.0,ProxyRank_k8_lambda2.0,0.7647,0.7493,0.2518,0.2597,0.0079,0.0153
Adult,random_forest,Subset FA-CMIM_k8_lambda1.0,ProxyRank_k8_lambda2.0,0.7813,0.7940,0.2518,0.2597,0.0079,-0.0127
COMPAS,gradient_boosting,Subset FA-CMIM_k8_lambda2.0,ProxyRank_k8_lambda0.5,0.6813,0.6813,0.5445,0.5445,0.0000,0.0000
COMPAS,logistic_regression,Subset FA-CMIM_k8_lambda2.0,ProxyRank_k8_lambda0.5,0.6673,0.6673,0.5445,0.5445,0.0000,0.0000
COMPAS,random_forest,Subset FA-CMIM_k8_lambda2.0,ProxyRank_k8_lambda0.5,0.6407,0.6460,0.5445,0.5445,0.0000,-0.0053
German Credit,gradient_boosting,Subset FA-CMIM_k8_lambda2.0,fair-mRMR_k8_lambda1.0,0.7133,0.7033,0.2463,0.4247,0.1784,0.0100
German Credit,logistic_regression,Subset FA-CMIM_k8_lambda2.0,fair-mRMR_k8_lambda1.0,0.6700,0.7033,0.2463,0.4247,0.1784,-0.0333
German Credit,random_forest,Subset FA-CMIM_k8_lambda2.0,ProxyRank_k8_lambda2.0,0.6767,0.7067,0.2463,0.4247,0.1784,-0.0300
