dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score,fairness_metric_used_for_tradeoff
ACSIncome,CMIM_k8,gradient_boosting,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,0.0340866482598766,0.0340866482598766,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,3.0379228591918945,8,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,0.0,1.0,0.5,dpd
ACSIncome,CMIM_k8,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,3.0379228591918945,8,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,1.0,1.0,1.0,dpd
ACSIncome,mRMR_k8,random_forest,0.8053333333333333,0.7944488606253313,0.7550335570469798,0.8767057498675146,0.055925380179514,0.8642283543134511,0.0636056856529296,0.0636056856529296,0.0125395886102254,0.6608572809917104,0.5941012723203469,8,0.0|0.5|1.0|2.0,1.1907947063446045,8,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,1.0,0.9817026489052194,0.9908513244526096,dpd
ACSIncome,BasicFACMIM_k8_lambda0.5,gradient_boosting,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8808818009185656,0.0699821060320798,0.8368405856532528,0.0314619763438661,0.0314619763438661,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,2.730010986328125,8,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker,1.0,1.0,1.0,equal_opportunity_difference
ACSIncome,CMIM_k8,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,3.0379228591918945,8,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,1.0,1.0,1.0,equal_opportunity_difference
ACSIncome,FairmRMR_k8_lambda2.0,random_forest,0.8006666666666666,0.7892377671789437,0.7485281749369218,0.8760332023199671,0.0765097250215822,0.8174854965427183,0.0210996352728636,0.0238621837144654,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,1.2902936935424805,8,education|relationship|hours-per-week|class-worker|age|birthplace|marital-status|occupation,0.5333333333333297,1.0,0.7666666666666648,equal_opportunity_difference
ACSIncome,BasicFACMIM_k8_lambda0.5,gradient_boosting,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8808818009185656,0.0699821060320798,0.8368405856532528,0.0314619763438661,0.0314619763438661,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,2.730010986328125,8,education|hours-per-week|relationship|age|occupation|birthplace|marital-status|class-worker,1.0,1.0,1.0,equalized_odds_difference
ACSIncome,CMIM_k8,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,3.0379228591918945,8,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,1.0,1.0,1.0,equalized_odds_difference
ACSIncome,FairmRMR_k8_lambda2.0,random_forest,0.8006666666666666,0.7892377671789437,0.7485281749369218,0.8760332023199671,0.0765097250215822,0.8174854965427183,0.0210996352728636,0.0238621837144654,0.0125395886102254,0.6608572809917105,0.5941012723203469,8,0.0|0.5|1.0|2.0,1.2902936935424805,8,education|relationship|hours-per-week|class-worker|age|birthplace|marital-status|occupation,0.5333333333333297,0.9557009150563328,0.7445171241948312,equalized_odds_difference
ACSIncome,FairCFS_k8_lambda2.0,gradient_boosting,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8809370031796503,0.0699821060320798,0.8368405856532528,0.0314619763438661,0.0314619763438661,0.0125395886102254,0.6608572809917104,0.5941012723203469,8,0.0|0.5|1.0|2.0,5.8235924243927,8,education|relationship|hours-per-week|age|occupation|birthplace|marital-status|class-worker,1.0,1.0,1.0,joint_subset_mi_sensitive
ACSIncome,mRMR_k8,logistic_regression,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,0.0353819408937519,0.0406123815514477,0.0125395886102254,0.6608572809917104,0.5941012723203469,8,0.0|0.5|1.0|2.0,1.1907947063446045,8,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,1.0,1.0,1.0,joint_subset_mi_sensitive
ACSIncome,mRMR_k8,random_forest,0.8053333333333333,0.7944488606253313,0.7550335570469798,0.8767057498675146,0.055925380179514,0.8642283543134511,0.0636056856529296,0.0636056856529296,0.0125395886102254,0.6608572809917104,0.5941012723203469,8,0.0|0.5|1.0|2.0,1.1907947063446045,8,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,1.0,1.0,1.0,joint_subset_mi_sensitive
