dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
ACSIncome,CMIM_k5,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,2.440427541732788,5,education|hours-per-week|relationship|occupation|age
ACSIncome,CMIM_k5,random_forest,0.7973333333333333,0.7874381734675853,0.7470881863560732,0.8733604928457868,0.08961342209124312,0.7934121950109437,0.003306404881208036,0.030710386948846452,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,2.440427541732788,5,education|hours-per-week|relationship|occupation|age
ACSIncome,CMIM_k5,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,2.440427541732788,5,education|hours-per-week|relationship|occupation|age
ACSIncome,mRMR_k5,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.37062668800354,5,education|hours-per-week|relationship|occupation|age
ACSIncome,mRMR_k5,random_forest,0.7973333333333333,0.7874381734675853,0.7470881863560732,0.8733604928457868,0.08961342209124312,0.7934121950109437,0.003306404881208036,0.030710386948846452,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.37062668800354,5,education|hours-per-week|relationship|occupation|age
ACSIncome,mRMR_k5,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,1.37062668800354,5,education|hours-per-week|relationship|occupation|age
ACSIncome,ProxyRank_k5_lambda0.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.35297083854675293,5,education|occupation|hours-per-week|relationship|age
ACSIncome,ProxyRank_k5_lambda0.0,random_forest,0.7893333333333333,0.7773803214979685,0.734006734006734,0.8724938173467586,0.08606334500539331,0.796465135231498,0.010907727443160486,0.023943347604650694,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.35297083854675293,5,education|occupation|hours-per-week|relationship|age
ACSIncome,ProxyRank_k5_lambda0.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.48026930169612475,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.35297083854675293,5,education|occupation|hours-per-week|relationship|age
ACSIncome,FairmRMR_k5_lambda0.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.8777732849121094,5,education|hours-per-week|relationship|occupation|age
