candidate,selected,selection_rank,marginal_relevance,cmim_score,utility_score,fairness_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.09464683944776187,0.09464683944776187,0.002735344062730516,2.0,0.08917615132230083,0.2542710304260254
relationship,False,,0.07024497057410069,0.07024497057410069,0.07024497057410069,0.00014266589340278246,2.0,0.06995963878729512,0.2542710304260254
age,False,,0.06017394137366793,0.06017394137366793,0.06017394137366793,0.0008875465543859984,2.0,0.058398848264895935,0.2542710304260254
hours-per-week,False,,0.07607893757060051,0.07607893757060051,0.07607893757060051,0.017887781789631838,2.0,0.040303373991336836,0.2542710304260254
marital-status,False,,0.04100462100626891,0.04100462100626891,0.04100462100626891,0.004559479765719618,2.0,0.03188566147482967,0.2542710304260254
birthplace,False,,0.02471550477545613,0.02471550477545613,0.02471550477545613,0.0021020496733772376,2.0,0.020511405428701654,0.2542710304260254
class-worker,False,,0.0009288498838900539,0.0009288498838900539,0.0009288498838900539,5.118869521447689e-05,2.0,0.0008264724934611001,0.2542710304260254
occupation,False,,0.09051034018267161,0.09051034018267161,0.09051034018267161,0.05266450114491961,2.0,-0.014818662107167604,0.2542710304260254
age,True,2.0,0.06017394137366793,0.054414221704643426,0.054414221704643426,0.0008875465543859984,2.0,0.05263912859587143,0.40593457221984863
relationship,False,,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.00014266589340278246,2.0,0.051510500836392636,0.40593457221984863
marital-status,False,,0.04100462100626891,0.03911623404943576,0.03911623404943576,0.004559479765719618,2.0,0.029997274517996525,0.40593457221984863
hours-per-week,False,,0.07607893757060051,0.06523556419658391,0.06523556419658391,0.017887781789631838,2.0,0.029460000617320237,0.40593457221984863
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,2.0,0.0027778326231834623,0.40593457221984863
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,2.0,0.0016037652618746694,0.40593457221984863
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,2.0,-0.069687127830253,0.40593457221984863
hours-per-week,True,3.0,0.07607893757060051,0.06523556419658391,0.06523556419658391,0.017887781789631838,2.0,0.029460000617320237,0.653181791305542
relationship,False,,0.07024497057410069,0.02870860909695696,0.02870860909695696,0.00014266589340278246,2.0,0.028423277310151394,0.653181791305542
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,2.0,0.0027778326231834623,0.653181791305542
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,2.0,0.0016037652618746694,0.653181791305542
marital-status,False,,0.04100462100626891,0.010523891037509066,0.010523891037509066,0.004559479765719618,2.0,0.00140493150606983,0.653181791305542
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,2.0,-0.069687127830253,0.653181791305542
relationship,True,4.0,0.07024497057410069,0.02870860909695696,0.02870860909695696,0.00014266589340278246,2.0,0.028423277310151394,0.9593188762664795
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,2.0,0.0027778326231834623,0.9593188762664795
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,2.0,0.0016037652618746694,0.9593188762664795
marital-status,False,,0.04100462100626891,0.010523891037509066,0.010523891037509066,0.004559479765719618,2.0,0.00140493150606983,0.9593188762664795
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,2.0,-0.069687127830253,0.9593188762664795
birthplace,True,5.0,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,2.0,0.0027778326231834623,1.3018546104431152
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,2.0,9.269535586205351e-05,1.3018546104431152
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,2.0,-0.0012781731233259038,1.3018546104431152
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,2.0,-0.069687127830253,1.3018546104431152
