candidate,selected,selection_rank,marginal_relevance,cmim_score,score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.09464683944776187,0.09464683944776187,0.27431654930114746
occupation,False,,0.09051034018267161,0.09051034018267161,0.09051034018267161,0.27431654930114746
hours-per-week,False,,0.07607893757060051,0.07607893757060051,0.07607893757060051,0.27431654930114746
relationship,False,,0.07024497057410069,0.07024497057410069,0.07024497057410069,0.27431654930114746
age,False,,0.06017394137366793,0.06017394137366793,0.06017394137366793,0.27431654930114746
marital-status,False,,0.04100462100626891,0.04100462100626891,0.04100462100626891,0.27431654930114746
birthplace,False,,0.02471550477545613,0.02471550477545613,0.02471550477545613,0.27431654930114746
class-worker,False,,0.0009288498838900539,0.0009288498838900539,0.0009288498838900539,0.27431654930114746
hours-per-week,True,2.0,0.07607893757060051,0.06523556419658391,0.06523556419658391,0.6003024578094482
age,False,,0.06017394137366793,0.054414221704643426,0.054414221704643426,0.6003024578094482
relationship,False,,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.6003024578094482
marital-status,False,,0.04100462100626891,0.03911623404943576,0.03911623404943576,0.6003024578094482
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.6003024578094482
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.6003024578094482
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,0.6003024578094482
relationship,True,3.0,0.07024497057410069,0.0517958326231982,0.0517958326231982,1.146381139755249
age,False,,0.06017394137366793,0.04936679300161239,0.04936679300161239,1.146381139755249
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,1.146381139755249
marital-status,False,,0.04100462100626891,0.03545823621673,0.03545823621673,1.146381139755249
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,1.146381139755249
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,1.146381139755249
occupation,True,4.0,0.09051034018267161,0.035641874459586206,0.035641874459586206,1.8390860557556152
age,False,,0.06017394137366793,0.018637579896524155,0.018637579896524155,1.8390860557556152
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,1.8390860557556152
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,1.8390860557556152
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,1.8390860557556152
age,True,5.0,0.06017394137366793,0.018637579896524155,0.018637579896524155,2.4304800033569336
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,2.4304800033569336
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,2.4304800033569336
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,2.4304800033569336
