candidate,selected,selection_rank,candidate_subset_size,marginal_relevance,candidate_proxy_leakage,subset_merit,mean_feature_relevance,mean_feature_redundancy,mean_proxy_leakage,max_proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,1,0.09464683944776187,0.002735344062730516,0.09464683944776187,0.09464683944776187,0.0,0.002735344062730516,0.002735344062730516,2.0,0.08917615132230083,0.4720170497894287
relationship,False,,1,0.07024497057410069,0.00014266589340278246,0.07024497057410069,0.07024497057410069,0.0,0.00014266589340278246,0.00014266589340278246,2.0,0.06995963878729512,0.4720170497894287
age,False,,1,0.06017394137366793,0.0008875465543859984,0.06017394137366793,0.06017394137366793,0.0,0.0008875465543859984,0.0008875465543859984,2.0,0.058398848264895935,0.4720170497894287
hours-per-week,False,,1,0.07607893757060051,0.017887781789631838,0.07607893757060051,0.07607893757060051,0.0,0.017887781789631838,0.017887781789631838,2.0,0.040303373991336836,0.4720170497894287
marital-status,False,,1,0.04100462100626891,0.004559479765719618,0.04100462100626891,0.04100462100626891,0.0,0.004559479765719618,0.004559479765719618,2.0,0.03188566147482967,0.4720170497894287
birthplace,False,,1,0.02471550477545613,0.0021020496733772376,0.02471550477545613,0.02471550477545613,0.0,0.0021020496733772376,0.0021020496733772376,2.0,0.020511405428701654,0.4720170497894287
class-worker,False,,1,0.0009288498838900539,5.118869521447689e-05,0.0009288498838900539,0.0009288498838900539,0.0,5.118869521447689e-05,5.118869521447689e-05,2.0,0.0008264724934611001,0.4720170497894287
occupation,False,,1,0.09051034018267161,0.05266450114491961,0.09051034018267161,0.09051034018267161,0.0,0.05266450114491961,0.05266450114491961,2.0,-0.014818662107167604,0.4720170497894287
relationship,True,2.0,2,0.07024497057410069,0.00014266589340278246,0.11508669398806488,0.08244590501093127,0.02640307805884009,0.0014390049780666492,0.002735344062730516,2.0,0.11220868403193159,0.9628069400787354
age,False,,2,0.06017394137366793,0.0008875465543859984,0.10833100134349254,0.0774103904107149,0.021228664129903884,0.0018114453085582571,0.002735344062730516,2.0,0.10470811072637602,0.9628069400787354
hours-per-week,False,,2,0.07607893757060051,0.017887781789631838,0.11961630893530219,0.0853628885091812,0.018561851197902955,0.010311562926181177,0.017887781789631838,2.0,0.09899318308293983,0.9628069400787354
marital-status,False,,2,0.04100462100626891,0.004559479765719618,0.09510751571231324,0.06782573022701538,0.017160008191550856,0.003647411914225067,0.004559479765719618,2.0,0.0878126918838631,0.9628069400787354
birthplace,False,,2,0.02471550477545613,0.0021020496733772376,0.08150709130832316,0.059681172111609,0.0722940432200117,0.0024186968680538767,0.002735344062730516,2.0,0.07666969757221541,0.9628069400787354
class-worker,False,,2,0.0009288498838900539,5.118869521447689e-05,0.06744567671724529,0.04778784466582596,0.004053025898097112,0.0013932663789724964,0.002735344062730516,2.0,0.0646591439593003,0.9628069400787354
occupation,False,,2,0.09051034018267161,0.05266450114491961,0.1198399058886819,0.09257858981521674,0.19357083833452451,0.02769992260382506,0.05266450114491961,2.0,0.06444006068103178,0.9628069400787354
hours-per-week,True,3.0,3,0.07607893757060051,0.017887781789631838,0.13572567870737173,0.08032358253082102,0.025355587403236842,0.006921930581921712,0.017887781789631838,2.0,0.12188181754352831,2.1048319339752197
age,False,,3,0.06017394137366793,0.0008875465543859984,0.12203121418082512,0.07502191713184349,0.06692513259589096,0.0012551855035064323,0.002735344062730516,2.0,0.11952084317381226,2.1048319339752197
marital-status,False,,3,0.04100462100626891,0.004559479765719618,0.11068614981448176,0.06863214367604381,0.076713111580339,0.0024791632406176386,0.004559479765719618,2.0,0.10572782333324648,2.1048319339752197
birthplace,False,,3,0.02471550477545613,0.0021020496733772376,0.10495176482200172,0.06320243826577289,0.04397561707277701,0.001660019876503512,0.002735344062730516,2.0,0.10163172506899469,2.1048319339752197
occupation,False,,3,0.09051034018267161,0.05266450114491961,0.1369253834425246,0.08513405006817805,0.07986903291172263,0.018514170367017635,0.05266450114491961,2.0,0.09989704270848934,2.1048319339752197
class-worker,False,,3,0.0009288498838900539,5.118869521447689e-05,0.09451467041262226,0.05527355330191753,0.013012065604869755,0.0009763995504492584,0.002735344062730516,2.0,0.09256187131172375,2.1048319339752197
age,True,4.0,4,0.06017394137366793,0.0008875465543859984,0.14069470694893355,0.07528617224153275,0.048447087274373364,0.0054133345750377836,0.017887781789631838,2.0,0.12986803779885797,3.6133780479431152
marital-status,False,,4,0.04100462100626891,0.004559479765719618,0.13145814608601591,0.07049384214968299,0.05007901294275421,0.0063313178778711884,0.017887781789631838,2.0,0.11879551033027354,3.6133780479431152
occupation,False,,4,0.09051034018267161,0.05266450114491961,0.153849512890035,0.08287027194378367,0.05351792471908096,0.018357573222671186,0.05266450114491961,2.0,0.11713436644469263,3.6133780479431152
birthplace,False,,4,0.02471550477545613,0.0021020496733772376,0.12699075085132897,0.0664215630919798,0.03143131187485117,0.005716960354785593,0.017887781789631838,2.0,0.11555683014175777,3.6133780479431152
class-worker,False,,4,0.0009288498838900539,5.118869521447689e-05,0.118057011734327,0.06047489936908828,0.016535674204773868,0.005204245110244903,0.017887781789631838,2.0,0.10764852151383719,3.6133780479431152
occupation,True,5.0,5,0.09051034018267161,0.05266450114491961,0.15851404921725953,0.07833100582976052,0.055240319389042156,0.014863567889014148,0.05266450114491961,2.0,0.12878691343923124,4.740652799606323
