candidate,selected,selection_rank,marginal_relevance,redundancy,redundancy_weight,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.0,1.0,0.002735344062730516,0.5,0.09327916741639661,0.2560100555419922
relationship,False,,0.07024497057410069,0.0,1.0,0.00014266589340278246,0.5,0.0701736376273993,0.2560100555419922
hours-per-week,False,,0.07607893757060051,0.0,1.0,0.017887781789631838,0.5,0.0671350466757846,0.2560100555419922
occupation,False,,0.09051034018267161,0.0,1.0,0.05266450114491961,0.5,0.0641780896102118,0.2560100555419922
age,False,,0.06017394137366793,0.0,1.0,0.0008875465543859984,0.5,0.05973016809647493,0.2560100555419922
marital-status,False,,0.04100462100626891,0.0,1.0,0.004559479765719618,0.5,0.0387248811234091,0.2560100555419922
birthplace,False,,0.02471550477545613,0.0,1.0,0.0021020496733772376,0.5,0.02366447993876751,0.2560100555419922
class-worker,False,,0.0009288498838900539,0.0,1.0,5.118869521447689e-05,0.5,0.0009032555362828154,0.2560100555419922
hours-per-week,True,2.0,0.07607893757060051,0.018561851197902955,1.0,0.017887781789631838,0.5,0.04857319547788164,0.3493177890777588
relationship,False,,0.07024497057410069,0.02640307805884009,1.0,0.00014266589340278246,0.5,0.04377055956855921,0.3493177890777588
age,False,,0.06017394137366793,0.021228664129903884,1.0,0.0008875465543859984,0.5,0.03850150396657105,0.3493177890777588
marital-status,False,,0.04100462100626891,0.017160008191550856,1.0,0.004559479765719618,0.5,0.021564872931858242,0.3493177890777588
class-worker,False,,0.0009288498838900539,0.004053025898097112,1.0,5.118869521447689e-05,0.5,-0.003149770361814297,0.3493177890777588
birthplace,False,,0.02471550477545613,0.0722940432200117,1.0,0.0021020496733772376,0.5,-0.048629563281244195,0.3493177890777588
occupation,False,,0.09051034018267161,0.19357083833452451,1.0,0.05266450114491961,0.5,-0.12939274872431272,0.3493177890777588
relationship,True,3.0,0.07024497057410069,0.028752455505903784,1.0,0.00014266589340278246,0.5,0.04142118212149551,0.4938192367553711
age,False,,0.06017394137366793,0.030736052918800383,1.0,0.0008875465543859984,0.5,0.02899411517767455,0.4938192367553711
marital-status,False,,0.04100462100626891,0.01891553347809434,1.0,0.004559479765719618,0.5,0.019809347645314758,0.4938192367553711
class-worker,False,,0.0009288498838900539,0.007283595080630315,1.0,5.118869521447689e-05,0.5,-0.0063803395443475,0.4938192367553711
birthplace,False,,0.02471550477545613,0.03964568954995862,1.0,0.0021020496733772376,0.5,-0.015981209611191108,0.4938192367553711
occupation,False,,0.09051034018267161,0.11270380188148597,1.0,0.05266450114491961,0.5,-0.04852571227127417,0.4938192367553711
class-worker,True,4.0,0.0009288498838900539,0.007715761006310898,1.0,5.118869521447689e-05,0.5,-0.006812505470028082,0.6758444309234619
age,False,,0.06017394137366793,0.07153858714550988,1.0,0.0008875465543859984,0.5,-0.01180841904903495,0.6758444309234619
birthplace,False,,0.02471550477545613,0.03750703634646549,1.0,0.0021020496733772376,0.5,-0.013842556407697978,0.6758444309234619
occupation,False,,0.09051034018267161,0.08168026203492508,1.0,0.05266450114491961,0.5,-0.017502172424713275,0.6758444309234619
marital-status,False,,0.04100462100626891,0.07480243848227157,1.0,0.004559479765719618,0.5,-0.03607755735886247,0.6758444309234619
age,True,5.0,0.06017394137366793,0.0576928874085175,1.0,0.0008875465543859984,0.5,0.0020372806879574296,0.8719122409820557
occupation,False,,0.09051034018267161,0.06214980866498777,1.0,0.05266450114491961,0.5,0.0020282809452240383,0.8719122409820557
birthplace,False,,0.02471550477545613,0.02909558215943999,1.0,0.0021020496733772376,0.5,-0.0054311022206724804,0.8719122409820557
marital-status,False,,0.04100462100626891,0.05764615840871666,1.0,0.004559479765719618,0.5,-0.018921277285307563,0.8719122409820557
