candidate,selected,selection_rank,marginal_relevance,cmim_score,utility_score,candidate_individual_leakage,subset_leakage,current_subset_leakage,incremental_subset_leakage,fairness_penalty,max_subset_leakage,constraint_feasible,score,ranking_score,runtime_elapsed_seconds
education,True,1.0,0.09464683944776187,0.09464683944776187,0.09464683944776187,0.002735344062730516,0.002735344062730516,0.0,0.002735344062730516,2.0,,True,0.08917615132230083,0.08917615132230083,0.5446476936340332
relationship,False,,0.07024497057410069,0.07024497057410069,0.07024497057410069,0.00014266589340278246,0.00014266589340278246,0.0,0.00014266589340278246,2.0,,True,0.06995963878729512,0.06995963878729512,0.5446476936340332
age,False,,0.06017394137366793,0.06017394137366793,0.06017394137366793,0.0008875465543859984,0.0008875465543859984,0.0,0.0008875465543859984,2.0,,True,0.058398848264895935,0.058398848264895935,0.5446476936340332
hours-per-week,False,,0.07607893757060051,0.07607893757060051,0.07607893757060051,0.017887781789631838,0.017887781789631838,0.0,0.017887781789631838,2.0,,True,0.040303373991336836,0.040303373991336836,0.5446476936340332
marital-status,False,,0.04100462100626891,0.04100462100626891,0.04100462100626891,0.004559479765719618,0.004559479765719618,0.0,0.004559479765719618,2.0,,True,0.03188566147482967,0.03188566147482967,0.5446476936340332
birthplace,False,,0.02471550477545613,0.02471550477545613,0.02471550477545613,0.0021020496733772376,0.0021020496733772376,0.0,0.0021020496733772376,2.0,,True,0.020511405428701654,0.020511405428701654,0.5446476936340332
class-worker,False,,0.0009288498838900539,0.0009288498838900539,0.0009288498838900539,5.118869521447689e-05,5.118869521447689e-05,0.0,5.118869521447689e-05,2.0,,True,0.0008264724934611001,0.0008264724934611001,0.5446476936340332
occupation,False,,0.09051034018267161,0.09051034018267161,0.09051034018267161,0.05266450114491961,0.05266450114491961,0.0,0.05266450114491961,2.0,,True,-0.014818662107167604,-0.014818662107167604,0.5446476936340332
relationship,True,2.0,0.07024497057410069,0.0517958326231982,0.0517958326231982,0.00014266589340278246,0.004831060236462672,0.002735344062730516,0.0020957161737321563,2.0,,True,0.047604400275733885,0.047604400275733885,0.9730935096740723
age,False,,0.06017394137366793,0.054414221704643426,0.054414221704643426,0.0008875465543859984,0.0074304442014155765,0.002735344062730516,0.004695100138685061,2.0,,True,0.045024021427273304,0.045024021427273304,0.9730935096740723
hours-per-week,False,,0.07607893757060051,0.06523556419658391,0.06523556419658391,0.017887781789631838,0.02383880061905064,0.002735344062730516,0.021103456556320125,2.0,,True,0.02302865108394366,0.02302865108394366,0.9730935096740723
marital-status,False,,0.04100462100626891,0.03911623404943576,0.03911623404943576,0.004559479765719618,0.010844180796563315,0.002735344062730516,0.0081088367338328,2.0,,True,0.02289856058177016,0.02289856058177016,0.9730935096740723
class-worker,False,,0.0009288498838900539,0.0017061426523036231,0.0017061426523036231,5.118869521447689e-05,0.0028459341027457508,0.002735344062730516,0.00011059004001523487,2.0,,True,0.0014849625722731534,0.0014849625722731534,0.9730935096740723
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.008252378753450345,0.002735344062730516,0.005517034690719829,2.0,,True,-0.004052137411501721,-0.004052137411501721,0.9730935096740723
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.055228402298721044,0.002735344062730516,0.05249305823599053,2.0,,True,-0.06934424201239485,-0.06934424201239485,0.9730935096740723
hours-per-week,True,3.0,0.07607893757060051,0.05784244041716742,0.05784244041716742,0.017887781789631838,0.034601318235700076,0.004831060236462672,0.029770257999237403,2.0,,True,-0.0016980755813073845,-0.0016980755813073845,1.491349697113037
age,False,,0.06017394137366793,0.018637579896524155,0.018637579896524155,0.0008875465543859984,0.015408985231580366,0.004831060236462672,0.010577924995117694,2.0,,True,-0.0025182700937112328,-0.0025182700937112328,1.491349697113037
class-worker,False,,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,0.006779607122652628,0.004831060236462672,0.0019485468861899554,2.0,,True,-0.0037020210260889034,-0.0037020210260889034,1.491349697113037
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.014479139461444898,0.004831060236462672,0.009648079224982226,2.0,,True,-0.012314226480026514,-0.012314226480026514,1.491349697113037
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.019669108580140683,0.004831060236462672,0.014838048343678011,2.0,,True,-0.021835310279242688,-0.021835310279242688,1.491349697113037
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.06413521107668288,0.004831060236462672,0.059304150840220206,2.0,,True,-0.0829664272208542,-0.0829664272208542,1.491349697113037
class-worker,True,4.0,0.0009288498838900539,0.00019507274629100728,0.00019507274629100728,5.118869521447689e-05,0.042187704398039635,0.034601318235700076,0.007586386162339559,2.0,,True,-0.01497769957838811,-0.01497769957838811,2.009289503097534
birthplace,False,,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.060601383905498886,0.034601318235700076,0.02600006566979881,2.0,,True,-0.04501819936965968,-0.04501819936965968,2.009289503097534
age,False,,0.06017394137366793,0.018637579896524155,0.018637579896524155,0.0008875465543859984,0.07018873623403835,0.034601318235700076,0.03558741799833827,2.0,,True,-0.052537256100152384,-0.052537256100152384,2.009289503097534
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.06560842396985037,0.034601318235700076,0.03100710573415029,2.0,,True,-0.05417342506018725,-0.05417342506018725,2.009289503097534
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.11377958317729037,0.034601318235700076,0.07917826494159029,2.0,,True,-0.12271465542359437,-0.12271465542359437,2.009289503097534
birthplace,True,5.0,0.02471550477545613,0.0069819319699379375,0.0069819319699379375,0.0021020496733772376,0.0827699726920928,0.042187704398039635,0.04058226829405316,2.0,,True,-0.07418260461816839,-0.07418260461816839,2.800814628601074
marital-status,False,,0.04100462100626891,0.007840786408113332,0.007840786408113332,0.004559479765719618,0.08897763291355532,0.042187704398039635,0.04678992851551568,2.0,,True,-0.08573907062291802,-0.08573907062291802,2.800814628601074
age,False,,0.06017394137366793,0.018637579896524155,0.018637579896524155,0.0008875465543859984,0.09648078193687684,0.042187704398039635,0.054293077538837206,2.0,,True,-0.08994857518115026,-0.08994857518115026,2.800814628601074
occupation,False,,0.09051034018267161,0.035641874459586206,0.035641874459586206,0.05266450114491961,0.13681373946493927,0.042187704398039635,0.09462603506689964,2.0,,True,-0.15361019567421308,-0.15361019567421308,2.800814628601074
