dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score,fairness_metric_used_for_tradeoff
COMPAS,CMIM_k8,gradient_boosting,0.6833333333333333,0.6728301358654695,0.6166263115415658,0.7487735862598597,0.9090909090909092,0.0909090909090909,1.0,1.0,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,26.113874912261963,8,c_charge_desc|priors_count|age|c_charge_degree|age_cat|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,dpd
COMPAS,CMIM_k8,logistic_regression,0.658,0.6551417867062852,0.6230712711241734,0.7060635258991308,0.8181818181818181,0.1818181818181818,1.0,1.0,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,26.113874912261963,8,c_charge_desc|priors_count|age|c_charge_degree|age_cat|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,dpd
COMPAS,BasicFACMIM_k8_lambda1.0,random_forest,0.6513333333333333,0.6463460586094782,0.6064710308502633,0.6986018703930983,0.8181818181818181,0.1818181818181818,0.6666666666666667,0.6666666666666667,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,1.7177653312683103,8,priors_count|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|c_charge_desc,1.0,1.0,1.0,dpd
COMPAS,CMIM_k8,gradient_boosting,0.6833333333333333,0.6728301358654695,0.6166263115415658,0.7487735862598597,0.9090909090909092,0.0909090909090909,1.0,1.0,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,26.113874912261963,8,c_charge_desc|priors_count|age|c_charge_degree|age_cat|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,equal_opportunity_difference
COMPAS,CMIM_k8,logistic_regression,0.658,0.6551417867062852,0.6230712711241734,0.7060635258991308,0.8181818181818181,0.1818181818181818,1.0,1.0,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,26.113874912261963,8,c_charge_desc|priors_count|age|c_charge_degree|age_cat|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,equal_opportunity_difference
COMPAS,BasicFACMIM_k8_lambda1.0,random_forest,0.6513333333333333,0.6463460586094782,0.6064710308502633,0.6986018703930983,0.8181818181818181,0.1818181818181818,0.6666666666666667,0.6666666666666667,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,1.7177653312683103,8,priors_count|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|c_charge_desc,1.0,1.0,1.0,equal_opportunity_difference
COMPAS,CMIM_k8,gradient_boosting,0.6833333333333333,0.6728301358654695,0.6166263115415658,0.7487735862598597,0.9090909090909092,0.0909090909090909,1.0,1.0,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,26.113874912261963,8,c_charge_desc|priors_count|age|c_charge_degree|age_cat|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,equalized_odds_difference
COMPAS,CMIM_k8,logistic_regression,0.658,0.6551417867062852,0.6230712711241734,0.7060635258991308,0.8181818181818181,0.1818181818181818,1.0,1.0,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,26.113874912261963,8,c_charge_desc|priors_count|age|c_charge_degree|age_cat|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,equalized_odds_difference
COMPAS,BasicFACMIM_k8_lambda1.0,random_forest,0.6513333333333333,0.6463460586094782,0.6064710308502633,0.6986018703930983,0.8181818181818181,0.1818181818181818,0.6666666666666667,0.6666666666666667,0.0382427171141581,0.9310158510474827,0.1970392021263266,8,0.0|0.5|1.0|2.0,1.7177653312683103,8,priors_count|age|juv_fel_count|juv_misd_count|juv_other_count|c_charge_degree|age_cat|c_charge_desc,1.0,1.0,1.0,equalized_odds_difference
COMPAS,ProxyRank_k8_lambda0.0,gradient_boosting,0.6833333333333333,0.6728301358654695,0.6166263115415658,0.7487574374322645,0.9090909090909092,0.0909090909090909,1.0,1.0,0.0382427171141581,0.9310158510474826,0.1970392021263266,8,0.0|0.5|1.0|2.0,0.257350206375122,8,c_charge_desc|priors_count|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,joint_subset_mi_sensitive
COMPAS,ProxyRank_k8_lambda0.0,logistic_regression,0.658,0.6551417867062852,0.6230712711241734,0.7060635258991308,0.8181818181818181,0.1818181818181818,1.0,1.0,0.0382427171141581,0.9310158510474826,0.1970392021263266,8,0.0|0.5|1.0|2.0,0.257350206375122,8,c_charge_desc|priors_count|age|age_cat|c_charge_degree|juv_fel_count|juv_misd_count|juv_other_count,1.0,1.0,1.0,joint_subset_mi_sensitive
COMPAS,FairCFS_k8_lambda0.5,random_forest,0.6493333333333333,0.6441336692289473,0.6033182503770739,0.6974140344077687,0.8181818181818181,0.1818181818181818,0.6666666666666667,0.6666666666666667,0.0382427171141581,0.9310158510474826,0.1970392021263266,8,0.0|0.5|1.0|2.0,5.38250470161438,8,priors_count|c_charge_desc|juv_fel_count|age|juv_misd_count|juv_other_count|c_charge_degree|age_cat,0.7857142857142848,1.0,0.8928571428571423,joint_subset_mi_sensitive
