candidate,selected,selection_rank,candidate_subset_size,marginal_relevance,candidate_proxy_leakage,subset_merit,mean_feature_relevance,mean_feature_redundancy,mean_proxy_leakage,max_proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
priors_count,True,1.0,1,0.05300766726998611,0.019004736411591824,0.05300766726998611,0.05300766726998611,0.0,0.019004736411591824,0.019004736411591824,0.5,0.0435052990641902,0.4213714599609375
c_charge_desc,False,,1,0.08384883078603281,0.08845942070557447,0.08384883078603281,0.08384883078603281,0.0,0.08845942070557447,0.08845942070557447,0.5,0.03961912043324557,0.4213714599609375
age,False,,1,0.018066024811884684,0.019650133039737977,0.018066024811884684,0.018066024811884684,0.0,0.019650133039737977,0.019650133039737977,0.5,0.008240958292015696,0.4213714599609375
age_cat,False,,1,0.01234980438445929,0.01601821519918864,0.01234980438445929,0.01234980438445929,0.0,0.01601821519918864,0.01601821519918864,0.5,0.00434069678486497,0.4213714599609375
c_charge_degree,False,,1,0.007051721282161222,0.005694781680843475,0.007051721282161222,0.007051721282161222,0.0,0.005694781680843475,0.005694781680843475,0.5,0.0042043304417394844,0.4213714599609375
juv_fel_count,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4213714599609375
juv_misd_count,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4213714599609375
juv_other_count,False,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4213714599609375
c_charge_desc,True,2.0,2,0.08384883078603281,0.08845942070557447,0.08887089676004678,0.06842824902800945,0.18571885277701483,0.05373207855858315,0.08845942070557447,0.5,0.06200485748075521,0.8297929763793945
age,False,,2,0.018066024811884684,0.019650133039737977,0.04927471692925779,0.0355368460409354,0.040254207600869334,0.0193274347256649,0.019650133039737977,0.5,0.039610999566425345,0.8297929763793945
age_cat,False,,2,0.01234980438445929,0.01601821519918864,0.04538627444461932,0.0326787358272227,0.036839230161603904,0.017511475805390232,0.019004736411591824,0.5,0.036630536541924205,0.8297929763793945
c_charge_degree,False,,2,0.007051721282161222,0.005694781680843475,0.042211151607930965,0.030029694276073667,0.012225830586405431,0.01234975904621765,0.019004736411591824,0.5,0.036036272084822144,0.8297929763793945
juv_fel_count,False,,2,0.0,0.0,0.037482080981487385,0.026503833634993056,0.0,0.009502368205795912,0.019004736411591824,0.5,0.03273089687858943,0.8297929763793945
juv_misd_count,False,,2,0.0,0.0,0.037482080981487385,0.026503833634993056,0.0,0.009502368205795912,0.019004736411591824,0.5,0.03273089687858943,0.8297929763793945
juv_other_count,False,,2,0.0,0.0,0.037482080981487385,0.026503833634993056,0.0,0.009502368205795912,0.019004736411591824,0.5,0.03273089687858943,0.8297929763793945
age,True,3.0,3,0.018066024811884684,0.019650133039737977,0.0784133792310184,0.05164084095596786,0.15057524005353115,0.04237143005230143,0.08845942070557447,0.5,0.05722766420486769,1.4591693878173828
juv_fel_count,False,,3,0.0,0.0,0.07453458764132502,0.04561883268533964,0.06190628425900494,0.035821385705722096,0.08845942070557447,0.5,0.05662389478846397,1.4591693878173828
juv_misd_count,False,,3,0.0,0.0,0.07453458764132502,0.04561883268533964,0.06190628425900494,0.035821385705722096,0.08845942070557447,0.5,0.05662389478846397,1.4591693878173828
juv_other_count,False,,3,0.0,0.0,0.07453458764132502,0.04561883268533964,0.06190628425900494,0.035821385705722096,0.08845942070557447,0.5,0.05662389478846397,1.4591693878173828
age_cat,False,,3,0.01234980438445929,0.01601821519918864,0.07717927560734586,0.04973543414682607,0.1229048173694093,0.04116079077211831,0.08845942070557447,0.5,0.0565988802212867,1.4591693878173828
c_charge_degree,False,,3,0.007051721282161222,0.005694781680843475,0.06791635624829762,0.04796940644606004,0.24829215656064405,0.03771964626600326,0.08845942070557447,0.5,0.04905653311529599,1.4591693878173828
juv_fel_count,True,4.0,4,0.0,0.0,0.0699622263702432,0.0387306307169759,0.07528762002676558,0.03177857253922607,0.08845942070557447,0.5,0.054072940100630164,2.2633209228515625
juv_misd_count,False,,4,0.0,0.0,0.0699622263702432,0.0387306307169759,0.07528762002676558,0.03177857253922607,0.08845942070557447,0.5,0.054072940100630164,2.2633209228515625
juv_other_count,False,,4,0.0,0.0,0.0699622263702432,0.0387306307169759,0.07528762002676558,0.03177857253922607,0.08845942070557447,0.5,0.054072940100630164,2.2633209228515625
c_charge_degree,False,,4,0.007051721282161222,0.005694781680843475,0.06593286475114563,0.0404935610375162,0.16959579073694808,0.03320226795943694,0.08845942070557447,0.5,0.049331730771427156,2.2633209228515625
age_cat,False,,4,0.01234980438445929,0.01601821519918864,0.06262434477514767,0.04181808181309072,0.26120595993185325,0.03578312633902323,0.08845942070557447,0.5,0.044732781605636054,2.2633209228515625
juv_misd_count,True,5.0,5,0.0,0.0,0.0637619459929226,0.030984504573580717,0.04517257201605934,0.025422858031380856,0.08845942070557447,0.5,0.051050516977232174,3.206409215927124
juv_other_count,False,,5,0.0,0.0,0.0637619459929226,0.030984504573580717,0.04517257201605934,0.025422858031380856,0.08845942070557447,0.5,0.051050516977232174,3.206409215927124
c_charge_degree,False,,5,0.007051721282161222,0.005694781680843475,0.06106738130175454,0.032394848830012965,0.10175747444216884,0.026561814367549553,0.08845942070557447,0.5,0.04778647411797977,3.206409215927124
age_cat,False,,5,0.01234980438445929,0.01601821519918864,0.058648840144058696,0.03345446545047258,0.15672357595911196,0.028626501071218585,0.08845942070557447,0.5,0.044335589608449404,3.206409215927124
