candidate,selected,selection_rank,marginal_relevance,redundancy,redundancy_weight,proxy_leakage,fairness_penalty,score,runtime_elapsed_seconds
priors_count,True,1.0,0.05300766726998611,0.0,1.0,0.019004736411591824,2.0,0.014998194446802462,0.23172235488891602
juv_fel_count,False,,0.0,0.0,1.0,0.0,2.0,0.0,0.23172235488891602
juv_misd_count,False,,0.0,0.0,1.0,0.0,2.0,0.0,0.23172235488891602
juv_other_count,False,,0.0,0.0,1.0,0.0,2.0,0.0,0.23172235488891602
c_charge_degree,False,,0.007051721282161222,0.0,1.0,0.005694781680843475,2.0,-0.004337842079525728,0.23172235488891602
age_cat,False,,0.01234980438445929,0.0,1.0,0.01601821519918864,2.0,-0.01968662601391799,0.23172235488891602
age,False,,0.018066024811884684,0.0,1.0,0.019650133039737977,2.0,-0.02123424126759127,0.23172235488891602
c_charge_desc,False,,0.08384883078603281,0.0,1.0,0.08845942070557447,2.0,-0.09307001062511613,0.23172235488891602
juv_fel_count,True,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.3094468116760254
juv_misd_count,False,,0.0,0.0,1.0,0.0,2.0,0.0,0.3094468116760254
juv_other_count,False,,0.0,0.0,1.0,0.0,2.0,0.0,0.3094468116760254
c_charge_degree,False,,0.007051721282161222,0.012225830586405431,1.0,0.005694781680843475,2.0,-0.01656367266593116,0.3094468116760254
age_cat,False,,0.01234980438445929,0.036839230161603904,1.0,0.01601821519918864,2.0,-0.056525856175521895,0.3094468116760254
age,False,,0.018066024811884684,0.040254207600869334,1.0,0.019650133039737977,2.0,-0.0614884488684606,0.3094468116760254
c_charge_desc,False,,0.08384883078603281,0.18571885277701478,1.0,0.08845942070557447,2.0,-0.27878886340213094,0.3094468116760254
juv_misd_count,True,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.4595375061035156
juv_other_count,False,,0.0,0.0,1.0,0.0,2.0,0.0,0.4595375061035156
c_charge_degree,False,,0.007051721282161222,0.006112915293202716,1.0,0.005694781680843475,2.0,-0.010450757372728443,0.4595375061035156
age_cat,False,,0.01234980438445929,0.018419615080801952,1.0,0.01601821519918864,2.0,-0.03810624109471994,0.4595375061035156
age,False,,0.018066024811884684,0.020127103800434667,1.0,0.019650133039737977,2.0,-0.04136134506802594,0.4595375061035156
c_charge_desc,False,,0.08384883078603281,0.09285942638850739,1.0,0.08845942070557447,2.0,-0.18592943701362352,0.4595375061035156
juv_other_count,True,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.6285231113433838
c_charge_degree,False,,0.007051721282161222,0.004075276862135144,1.0,0.005694781680843475,2.0,-0.008413118941660871,0.6285231113433838
age_cat,False,,0.01234980438445929,0.012279743387201301,1.0,0.01601821519918864,2.0,-0.03196636940111929,0.6285231113433838
age,False,,0.018066024811884684,0.013418069200289777,1.0,0.019650133039737977,2.0,-0.034652310467881045,0.6285231113433838
c_charge_desc,False,,0.08384883078603281,0.06190628425900493,1.0,0.08845942070557447,2.0,-0.15497629488412107,0.6285231113433838
c_charge_degree,True,5.0,0.007051721282161222,0.003056457646601358,1.0,0.005694781680843475,2.0,-0.0073942997261270856,0.8200674057006836
age_cat,False,,0.01234980438445929,0.009209807540400976,1.0,0.01601821519918864,2.0,-0.028896433554318965,0.8200674057006836
age,False,,0.018066024811884684,0.010063551900217333,1.0,0.019650133039737977,2.0,-0.031297793167808605,0.8200674057006836
c_charge_desc,False,,0.08384883078603281,0.046429713194253694,1.0,0.08845942070557447,2.0,-0.13949972381936981,0.8200674057006836
