candidate,selected,selection_rank,marginal_relevance,cmim_score,utility_score,candidate_individual_leakage,subset_leakage,current_subset_leakage,incremental_subset_leakage,fairness_penalty,max_subset_leakage,constraint_feasible,score,ranking_score,runtime_elapsed_seconds
c_charge_desc,True,1.0,0.08384883078603281,0.08384883078603281,0.08384883078603281,0.08845942070557447,0.08845942070557447,0.0,0.08845942070557447,0.0,,True,0.08384883078603281,0.08384883078603281,0.5368623733520508
priors_count,False,,0.05300766726998611,0.05300766726998611,0.05300766726998611,0.019004736411591824,0.019004736411591824,0.0,0.019004736411591824,0.0,,True,0.05300766726998611,0.05300766726998611,0.5368623733520508
age,False,,0.018066024811884684,0.018066024811884684,0.018066024811884684,0.019650133039737977,0.019650133039737977,0.0,0.019650133039737977,0.0,,True,0.018066024811884684,0.018066024811884684,0.5368623733520508
age_cat,False,,0.01234980438445929,0.01234980438445929,0.01234980438445929,0.01601821519918864,0.01601821519918864,0.0,0.01601821519918864,0.0,,True,0.01234980438445929,0.01234980438445929,0.5368623733520508
c_charge_degree,False,,0.007051721282161222,0.007051721282161222,0.007051721282161222,0.005694781680843475,0.005694781680843475,0.0,0.005694781680843475,0.0,,True,0.007051721282161222,0.007051721282161222,0.5368623733520508
juv_fel_count,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,0.5368623733520508
juv_misd_count,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,0.5368623733520508
juv_other_count,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0.0,0.5368623733520508
priors_count,True,2.0,0.05300766726998611,0.09437263851893339,0.09437263851893339,0.019004736411591824,0.1532746841992953,0.08845942070557447,0.06481526349372083,0.0,,True,0.09437263851893339,0.09437263851893339,4.538106441497803
age,False,,0.018066024811884684,0.08668129604489204,0.08668129604489204,0.019650133039737977,0.18576923211743118,0.08845942070557447,0.09730981141185671,0.0,,True,0.08668129604489204,0.08668129604489204,4.538106441497803
age_cat,False,,0.01234980438445929,0.05224420144940214,0.05224420144940214,0.01601821519918864,0.14941388236929942,0.08845942070557447,0.06095446166372495,0.0,,True,0.05224420144940214,0.05224420144940214,4.538106441497803
c_charge_degree,False,,0.007051721282161222,0.006760012693598127,0.006760012693598127,0.005694781680843475,0.09493629688826194,0.08845942070557447,0.006476876182687469,0.0,,True,0.006760012693598127,0.006760012693598127,4.538106441497803
juv_fel_count,False,,0.0,0.0,0.0,0.0,0.08845942070557447,0.08845942070557447,0.0,0.0,,True,0.0,0.0,4.538106441497803
juv_misd_count,False,,0.0,0.0,0.0,0.0,0.08845942070557447,0.08845942070557447,0.0,0.0,,True,0.0,0.0,4.538106441497803
juv_other_count,False,,0.0,0.0,0.0,0.0,0.08845942070557447,0.08845942070557447,0.0,0.0,,True,0.0,0.0,4.538106441497803
age,True,3.0,0.018066024811884684,0.03480601220337591,0.03480601220337591,0.019650133039737977,0.28658127348427415,0.1532746841992953,0.13330658928497885,0.0,,True,0.03480601220337591,0.03480601220337591,8.133248567581177
age_cat,False,,0.01234980438445929,0.027599139357007023,0.027599139357007023,0.01601821519918864,0.2344625021737314,0.1532746841992953,0.08118781797443611,0.0,,True,0.027599139357007023,0.027599139357007023,8.133248567581177
c_charge_degree,False,,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,0.005694781680843475,0.16290840690069872,0.1532746841992953,0.009633722701403419,0.0,,True,0.0030747507824423247,0.0030747507824423247,8.133248567581177
juv_fel_count,False,,0.0,0.0,0.0,0.0,0.1532746841992953,0.1532746841992953,0.0,0.0,,True,0.0,0.0,8.133248567581177
juv_misd_count,False,,0.0,0.0,0.0,0.0,0.1532746841992953,0.1532746841992953,0.0,0.0,,True,0.0,0.0,8.133248567581177
juv_other_count,False,,0.0,0.0,0.0,0.0,0.1532746841992953,0.1532746841992953,0.0,0.0,,True,0.0,0.0,8.133248567581177
c_charge_degree,True,4.0,0.007051721282161222,0.0030747507824423247,0.0030747507824423247,0.005694781680843475,0.298048957614811,0.28658127348427415,0.011467684130536837,0.0,,True,0.0030747507824423247,0.0030747507824423247,11.861322402954102
age_cat,False,,0.01234980438445929,6.5572341975965136e-06,6.5572341975965136e-06,0.01601821519918864,0.29112577430595754,0.28658127348427415,0.004544500821683395,0.0,,True,6.5572341975965136e-06,6.5572341975965136e-06,11.861322402954102
juv_fel_count,False,,0.0,0.0,0.0,0.0,0.28658127348427415,0.28658127348427415,0.0,0.0,,True,0.0,0.0,11.861322402954102
juv_misd_count,False,,0.0,0.0,0.0,0.0,0.28658127348427415,0.28658127348427415,0.0,0.0,,True,0.0,0.0,11.861322402954102
juv_other_count,False,,0.0,0.0,0.0,0.0,0.28658127348427415,0.28658127348427415,0.0,0.0,,True,0.0,0.0,11.861322402954102
age_cat,True,5.0,0.01234980438445929,6.5572341975965136e-06,6.5572341975965136e-06,0.01601821519918864,0.3023845172549735,0.298048957614811,0.004335559640162523,0.0,,True,6.5572341975965136e-06,6.5572341975965136e-06,14.905241012573242
juv_fel_count,False,,0.0,0.0,0.0,0.0,0.298048957614811,0.298048957614811,0.0,0.0,,True,0.0,0.0,14.905241012573242
juv_misd_count,False,,0.0,0.0,0.0,0.0,0.298048957614811,0.298048957614811,0.0,0.0,,True,0.0,0.0,14.905241012573242
juv_other_count,False,,0.0,0.0,0.0,0.0,0.298048957614811,0.298048957614811,0.0,0.0,,True,0.0,0.0,14.905241012573242
