selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
CMIM_k8,gradient_boosting,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,CMIM,8.0,,0.0|0.5|1.0|2.0,3.0379228591918945,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
mRMR_k8,gradient_boosting,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,mRMR,8.0,,0.0|0.5|1.0|2.0,1.1907947063446045,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,False
ProxyRank_k8_lambda0.0,gradient_boosting,8,,,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809462035564977,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917106,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,0.0,0.0|0.5|1.0|2.0,0.2603132724761963,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,False
FairmRMR_k8_lambda0.0,gradient_boosting,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.0,0.0|0.5|1.0|2.0,1.3064284324645996,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,False
FairCFS_k8_lambda0.0,gradient_boosting,8,,,education|occupation|hours-per-week|relationship|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809462035564977,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917106,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,0.0,0.0|0.5|1.0|2.0,6.8388831615448,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,False
FairLasso_k8_lambda0.0,gradient_boosting,8,,,hours-per-week|education|occupation|age|relationship|birthplace|marital-status|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8808468394865454,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,FairLasso-style,8.0,0.0,0.0|0.5|1.0|2.0,0.4454734325408935,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
BasicFACMIM_k8_lambda0.0,gradient_boosting,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,BasicFA-CMIM,8.0,0.0,0.0|0.5|1.0|2.0,2.9151079654693604,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
SubsetFACMIM_k8_lambda0.0,gradient_boosting,8,,,education|hours-per-week|relationship|occupation|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,SubsetFA-CMIM,8.0,0.0,0.0|0.5|1.0|2.0,3.644399881362915,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
ProxyRank_k8_lambda0.5,gradient_boosting,8,,,education|relationship|hours-per-week|occupation|age|marital-status|birthplace|class-worker,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.8809462035564977,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,ProxyRank,8.0,0.5,0.0|0.5|1.0|2.0,0.2710590362548828,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
FairmRMR_k8_lambda0.5,gradient_boosting,8,,,education|hours-per-week|relationship|class-worker|age|occupation|birthplace|marital-status,,0.7926666666666666,0.7832428016251545,0.7423363711681856,0.880913082199847,0.0687670392034043,0.8392179736806769,,,0.0340866482598766,,,,,,0.0340866482598766,,0.0125395886102254,,0.6608572809917105,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.5,0.0|0.5|1.0|2.0,1.7506000995635986,8.0,0.0,0.5,1.0,1.0,0.0,0.0,0.25,0.5,0.5,False
