selector,model,k,lambda,selected_feature_count,selected_features,diagnostics_path,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,selection_rate_min,selection_rate_max,equalized_odds_difference,equalized_odds_ratio,tpr_min,tpr_max,fpr_min,fpr_max,equal_opportunity_difference,equal_opportunity_ratio,mean_selected_mi_sensitive,max_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,sensitive_attacker_auroc,sensitive_attacker_status,dataset_key,dataset,selector_family,k_value,lambda_value,lambda_values,selector_runtime_seconds,n_selected_features,accuracy_norm,joint_leakage_quality,attacker_leakage_quality,dpd_quality,eod_quality,eodd_quality,tradeoff_accuracy_joint_mi,tradeoff_accuracy_attacker,tradeoff_accuracy_dpd,pareto_accuracy_joint_mi
FairCFS_k8_lambda2.0,gradient_boosting,8,,,education|relationship|hours-per-week|age|occupation|birthplace|marital-status|class-worker,,0.7933333333333333,0.7840597950892068,0.7433774834437086,0.8809370031796503,0.0699821060320798,0.8368405856532528,,,0.0314619763438661,,,,,,0.0314619763438661,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,2.0,0.0|0.5|1.0|2.0,5.8235924243927,8.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,True
mRMR_k8,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,mRMR,8.0,,0.0|0.5|1.0|2.0,1.1907947063446045,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairmRMR_k8_lambda0.0,logistic_regression,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.0,0.0|0.5|1.0|2.0,1.3064284324645996,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
FairCFS_k8_lambda2.0,logistic_regression,8,,,education|relationship|hours-per-week|age|occupation|birthplace|marital-status|class-worker,,0.7646666666666667,0.7661963434022258,0.7286702536510377,0.849185582641465,0.0268373623178521,0.9430743577639372,,,0.0406123815514477,,,,,,0.0353819408937519,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,FairCFS-style,8.0,2.0,0.0|0.5|1.0|2.0,5.8235924243927,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
mRMR_k8,random_forest,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.8053333333333333,0.7944488606253313,0.7550335570469798,0.8767057498675146,0.055925380179514,0.8642283543134511,,,0.0636056856529296,,,,,,0.0636056856529296,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,mRMR,8.0,,0.0|0.5|1.0|2.0,1.1907947063446045,8.0,1.0,1.0,1.0,0.9817026489052194,0.0,0.0,1.0,1.0,0.9908513244526097,True
FairmRMR_k8_lambda0.0,random_forest,8,,,education|hours-per-week|relationship|occupation|age|class-worker|birthplace|marital-status,,0.8053333333333333,0.7944488606253313,0.7550335570469798,0.8767057498675146,0.055925380179514,0.8642283543134511,,,0.0636056856529296,,,,,,0.0636056856529296,,0.0125395886102254,,0.6608572809917104,0.5941012723203469,,,acs_income,ACSIncome,fair-mRMR,8.0,0.0,0.0|0.5|1.0|2.0,1.3064284324645996,8.0,1.0,1.0,1.0,0.9817026489052194,0.0,0.0,1.0,1.0,0.9908513244526097,True
FairmRMR_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|capital-gain|hours-per-week|capital-loss|age|fnlwgt|workclass,results/adult/final/diagnostics/FairmRMR_k8_lambda0.5_diagnostics.csv,0.8573333333333333,0.773564876817956,0.6815476190476191,0.9197063025615556,0.1747099919295013,0.3052547977178423,0.0767634854771784,0.2514734774066797,0.1053220718428818,0.1414447134786118,0.5161290322580645,0.6214511041009464,0.0119047619047619,0.0841654778887303,0.1053220718428818,0.8305223514000327,0.0219815875850334,0.1060794500629328,0.4803447369747589,0.7398530243075183,0.8108535895986433,ok,adult,adult,fair-mRMR,8.0,0.5,,,,0.8235294117647057,0.32926416628600197,0.4403235352140463,0.32147030702220314,0.6438635520949205,0.7368979418629327,0.5763967890253539,0.631926473489376,0.5724998593934545,True
SubsetFACMIM_k8_lambda0.5,gradient_boosting,8,0.5,8.0,education|marital-status|hours-per-week|education-num|capital-gain|capital-loss|native-country|age,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda0.5_diagnostics.csv,0.856,0.7857712794126992,0.6931818181818182,0.919334414476332,0.1847451271307339,0.3307098241313624,0.0912863070539419,0.2760314341846758,0.0965117858841111,0.1098057644110275,0.6290322580645161,0.6466876971608833,0.0119047619047619,0.108416547788873,0.0176554390963671,0.9726986624704956,0.0230135418696123,0.1060794500629328,0.3258911520059796,0.7352741661955907,0.8114075749010741,ok,adult,adult,SubsetFA-CMIM,8.0,0.5,,,,0.7941176470588241,0.7825681272818283,0.45630301834681397,0.25608201423563115,0.9632925472747498,0.7736383111041122,0.7883428871703262,0.6252103327028191,0.5250998306472277,True
FairCFS_k8_lambda1.0,gradient_boosting,8,1.0,8.0,education|age|marital-status|hours-per-week|occupation|capital-gain|capital-loss|education-num,results/adult/final/diagnostics/FairCFS_k8_lambda1.0_diagnostics.csv,0.8653333333333333,0.7972550893355207,0.7122507122507122,0.9252858007009384,0.1858374976562946,0.3243479549496146,0.0892116182572614,0.275049115913556,0.0850995176958087,0.1227240896358543,0.6129032258064516,0.668769716088328,0.0119047619047619,0.0970042796005706,0.0558664902818764,0.9164637857577604,0.0356044144277209,0.1133884211525689,0.5033655323182661,0.7942905596382137,0.86951950254381,ok,adult,adult,FairCFS-style,8.0,1.0,,,,1.0,0.2617007120832686,0.2503452357466954,0.2489641984489529,0.8240637745643309,0.8212293823905318,0.6308503560416343,0.6251726178733477,0.6244820992244764,True
SubsetFACMIM_k8_lambda1.0,gradient_boosting,8,1.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda1.0_diagnostics.csv,0.832,0.7112077183253738,0.5841584158415841,0.8685104940697972,0.0762499082897879,0.5663552701731611,0.0995850622406639,0.1758349705304518,0.0779993894372646,0.7153061224489796,0.4542586750788643,0.532258064516129,0.0357142857142857,0.0499286733238231,0.0779993894372646,0.8534556925724118,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,1.0,,,,0.2647058823529414,1.0,0.8196883014401265,0.9630298523318817,0.7434186132740084,0.8508381073626144,0.6323529411764707,0.542197091896534,0.6138678673424115,True
SubsetFACMIM_k8_lambda2.0,gradient_boosting,8,2.0,8.0,education|age|education-num|capital-gain|capital-loss|native-country|workclass|hours-per-week,results/adult/final/diagnostics/SubsetFACMIM_k8_lambda2.0_diagnostics.csv,0.832,0.7112077183253738,0.5841584158415841,0.8685104940697972,0.0762499082897879,0.5663552701731611,0.0995850622406639,0.1758349705304518,0.0779993894372646,0.7153061224489796,0.4542586750788643,0.532258064516129,0.0357142857142857,0.0499286733238231,0.0779993894372646,0.8534556925724118,0.0108015760573474,0.0359540873858558,0.2518059131432508,0.6311475409836065,0.6798869417750142,ok,adult,adult,SubsetFA-CMIM,8.0,2.0,,,,0.2647058823529414,1.0,0.8196883014401265,0.9630298523318817,0.7434186132740084,0.8508381073626144,0.6323529411764707,0.542197091896534,0.6138678673424115,True
