dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score,pareto_optimal,pareto_utility_col,pareto_fairness_col
German Credit,CMIM_k8,random_forest,0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7351851851851854,0.0045713481960756,0.9792531120331952,0.0622119815668202,0.0622119815668202,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,11.692721843719482,8,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans,0.5185185185185189,1.0,0.7592592592592595,True,accuracy,dpd
German Credit,FairLasso_k8_lambda0.0,random_forest,0.7333333333333333,0.6317460317460317,0.4594594594594595,0.7420634920634921,0.0125184612138687,0.9384508990318118,0.1336405529953917,0.1336405529953917,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2910387516021728,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.6296296296296288,0.9318455971049456,0.7807376133672872,True,accuracy,dpd
German Credit,BasicFACMIM_k8_lambda0.0,random_forest,0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7351851851851854,0.0045713481960756,0.9792531120331952,0.0622119815668202,0.0622119815668202,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,5.412459373474121,8,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans,0.5185185185185189,1.0,0.7592592592592595,True,accuracy,dpd
German Credit,SubsetFACMIM_k8_lambda0.0,random_forest,0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7351851851851854,0.0045713481960756,0.9792531120331952,0.0622119815668202,0.0622119815668202,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,8.561937808990479,8,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans,0.5185185185185189,1.0,0.7592592592592595,True,accuracy,dpd
German Credit,ProxyRank_k8_lambda0.5,gradient_boosting,0.7333333333333333,0.6603174603174603,0.5180722891566265,0.7515608465608467,0.0011252549405724,0.9955739972337484,0.1232718894009216,0.1232718894009216,0.0143158964898477,0.4662765264156376,0.6647091919262957,8,0.0|0.5|1.0|2.0,0.1911449432373047,8,checking_status|savings_status|duration|credit_history|property_magnitude|other_payment_plans|purpose|foreign_worker,0.499999999999999,1.0,0.7499999999999996,True,accuracy,dpd
German Credit,FairLasso_k8_lambda0.5,random_forest,0.7333333333333333,0.6317460317460317,0.4594594594594595,0.7420634920634921,0.0125184612138687,0.9384508990318118,0.1336405529953917,0.1336405529953917,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2739632129669189,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.6296296296296288,0.9318455971049456,0.7807376133672872,True,accuracy,dpd
German Credit,ProxyRank_k8_lambda1.0,gradient_boosting,0.7633333333333333,0.6817460317460318,0.5477707006369427,0.7669576719576721,0.0037274069906463,0.9833647206528562,0.1232718894009216,0.1232718894009216,0.0117875617631894,0.4489252618460084,0.5993389127224137,8,0.0|0.5|1.0|2.0,0.2964558601379394,8,checking_status|savings_status|duration|other_payment_plans|property_magnitude|credit_history|foreign_worker|credit_amount,1.0,0.9702572347266876,0.9851286173633438,True,accuracy,dpd
German Credit,FairLasso_k8_lambda1.0,random_forest,0.7333333333333333,0.6317460317460317,0.4594594594594595,0.7420634920634921,0.0125184612138687,0.9384508990318118,0.1336405529953917,0.1336405529953917,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2789533138275146,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.6296296296296288,0.9318455971049456,0.7807376133672872,True,accuracy,dpd
German Credit,BasicFACMIM_k8_lambda1.0,logistic_regression,0.7333333333333333,0.7301587301587302,0.6190476190476191,0.7903174603174604,0.0084394120542936,0.9792531120331948,0.2188940092165898,0.2188940092165898,0.0139562361304513,0.4911255929135176,0.6266615092481891,8,0.0|0.5|1.0|2.0,5.000693082809448,8,checking_status|duration|property_magnitude|other_payment_plans|purpose|savings_status|credit_history|credit_amount,1.0,1.0,1.0,True,accuracy,dpd
German Credit,FairLasso_k8_lambda2.0,random_forest,0.7333333333333333,0.6317460317460317,0.4594594594594595,0.7420634920634921,0.0125184612138687,0.9384508990318118,0.1336405529953917,0.1336405529953917,0.0215450126440387,0.4957465741172506,0.6539841057739644,8,0.0|0.5|1.0|2.0,0.2991712093353271,8,purpose|checking_status|duration|credit_history|savings_status|employment|property_magnitude|installment_commitment,0.6296296296296288,0.9318455971049456,0.7807376133672872,True,accuracy,dpd
German Credit,BasicFACMIM_k8_lambda2.0,random_forest,0.7666666666666667,0.6714285714285715,0.527027027027027,0.7509523809523808,0.0547155214853365,0.7694131594546532,0.0069124423963133,0.030455938006848,0.0118286355033899,0.4865046117097847,0.6176594697236093,8,0.0|0.5|1.0|2.0,6.413734674453735,8,checking_status|duration|other_payment_plans|property_magnitude|savings_status|purpose|credit_amount|foreign_worker,1.0,0.5699638118214713,0.7849819059107357,True,accuracy,dpd
