dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features,utility_norm,fairness_norm,tradeoff_score,pareto_optimal,pareto_utility_col,pareto_fairness_col
German Credit,CMIM_k8,logistic_regression,0.71,0.7007936507936507,0.583732057416268,0.7801587301587303,0.0547858499191222,0.8756782636450687,0.1025345622119816,0.1025345622119816,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,11.692721843719482,8,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans,0.6315789473684208,0.03705513098867008,0.33431703917854544,False,accuracy,joint_subset_mi_sensitive
German Credit,CMIM_k8,random_forest,0.7233333333333334,0.6309523809523809,0.4645161290322581,0.7351851851851854,0.0045713481960756,0.9792531120331952,0.0622119815668202,0.0622119815668202,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,11.692721843719482,8,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans,0.5185185185185189,0.03705513098867008,0.2777868247535945,False,accuracy,joint_subset_mi_sensitive
German Credit,CMIM_k8,gradient_boosting,0.74,0.6555555555555556,0.5063291139240507,0.7694708994708994,0.0343202756874604,0.8650069156293223,0.074884792626728,0.074884792626728,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,11.692721843719482,8,checking_status|credit_history|purpose|duration|property_magnitude|employment|savings_status|other_payment_plans,0.611111111111111,0.03705513098867008,0.32408312104989057,False,accuracy,joint_subset_mi_sensitive
German Credit,mRMR_k8,logistic_regression,0.6966666666666667,0.7007936507936507,0.5844748858447488,0.7632275132275131,0.1187847246641817,0.7739258466068799,0.0472350230414746,0.091007388718688,0.0216041468941198,0.4458177028913508,0.7186511006399887,8,0.0|0.5|1.0|2.0,3.107067346572876,8,checking_status|duration|other_payment_plans|employment|savings_status|foreign_worker|credit_history|housing,0.4210526315789472,0.20018701459958144,0.3106198230892643,False,accuracy,joint_subset_mi_sensitive
German Credit,mRMR_k8,random_forest,0.7166666666666667,0.6484126984126984,0.5029239766081871,0.7077513227513227,0.0225754272452352,0.9216499877959482,0.0714285714285714,0.0714285714285714,0.0216041468941198,0.4458177028913508,0.7186511006399887,8,0.0|0.5|1.0|2.0,3.107067346572876,8,checking_status|duration|other_payment_plans|employment|savings_status|foreign_worker|credit_history|housing,0.4444444444444444,0.20018701459958144,0.32231572952201293,False,accuracy,joint_subset_mi_sensitive
German Credit,mRMR_k8,gradient_boosting,0.72,0.6349206349206349,0.475,0.7318518518518519,0.0260215205007384,0.8976486860304288,0.0092165898617511,0.0652369796359704,0.0216041468941198,0.4458177028913508,0.7186511006399887,8,0.0|0.5|1.0|2.0,3.107067346572876,8,checking_status|duration|other_payment_plans|employment|savings_status|foreign_worker|credit_history|housing,0.27777777777777707,0.20018701459958144,0.23898239618867925,False,accuracy,joint_subset_mi_sensitive
German Credit,ProxyRank_k8_lambda0.0,logistic_regression,0.71,0.7007936507936507,0.583732057416268,0.7801587301587303,0.0547858499191222,0.8756782636450687,0.1025345622119816,0.1025345622119816,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,0.3264925479888916,8,checking_status|credit_history|savings_status|duration|employment|property_magnitude|purpose|other_payment_plans,0.6315789473684208,0.03705513098867008,0.33431703917854544,False,accuracy,joint_subset_mi_sensitive
German Credit,ProxyRank_k8_lambda0.0,random_forest,0.7066666666666667,0.6,0.4054054054054054,0.7351851851851852,0.0336169913496026,0.8474305777210341,0.0172811059907833,0.0172811059907833,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,0.3264925479888916,8,checking_status|credit_history|savings_status|duration|employment|property_magnitude|purpose|other_payment_plans,0.3333333333333333,0.03705513098867008,0.1851942321610017,False,accuracy,joint_subset_mi_sensitive
German Credit,ProxyRank_k8_lambda0.0,gradient_boosting,0.7366666666666667,0.65,0.4968152866242038,0.7680423280423281,0.0384696532808214,0.8486860304287691,0.0587557603686635,0.0587557603686635,0.0199695156551045,0.4865046117097847,0.6647091919262957,8,0.0|0.5|1.0|2.0,0.3264925479888916,8,checking_status|credit_history|savings_status|duration|employment|property_magnitude|purpose|other_payment_plans,0.5555555555555559,0.03705513098867008,0.296305343272113,False,accuracy,joint_subset_mi_sensitive
German Credit,FairmRMR_k8_lambda0.0,logistic_regression,0.6966666666666667,0.7007936507936507,0.5844748858447488,0.7632275132275131,0.1187847246641817,0.7739258466068799,0.0472350230414746,0.091007388718688,0.0216041468941198,0.4458177028913508,0.7186511006399887,8,0.0|0.5|1.0|2.0,4.842973470687866,8,checking_status|duration|other_payment_plans|employment|savings_status|foreign_worker|credit_history|housing,0.4210526315789472,0.20018701459958144,0.3106198230892643,False,accuracy,joint_subset_mi_sensitive
