feature,mi_feature_sensitive,mi_feature_target,cmi_feature_target_given_sensitive,entanglement_score,selection_count,selection_frequency,selection_denominator,entanglement_selection_score
relationship,0.3995924568099069,0.1747834493860032,0.139722965455992,0.0558322430393256,9,0.34615384615384615,26,0.019326545667458863
marital-status,0.1611700958235875,0.1672919875086864,0.1339029325589515,0.0215811484715856,16,0.6153846153846154,26,0.013280706751744984
occupation,0.1370952974595853,0.0860359632480713,0.0936984912960737,0.0128456225357495,14,0.5384615384615384,26,0.006916873673095884
hours-per-week,0.0458942870218508,0.0517923063799656,0.0381866802422903,0.0017525504634513,23,0.8846153846153846,26,0.0015503331022838423
age,0.0088900500771882,0.0937574271021817,0.0883100746476302,0.0007850809859376,26,1.0,26,0.0007850809859376
education,0.0059462577119973,0.0837695594956917,0.0865566477640246,0.0005146881342914,24,0.9230769230769231,26,0.0004750967393459077
workclass,0.0147244088853835,0.0232185852731765,0.021802392411267,0.000321027340543,19,0.7307692307692307,26,0.00023459690270449996
native-country,0.0090071122057926,0.0139621780292338,0.0199099755683127,0.0001793313839583,19,0.7307692307692307,26,0.00013104985750798844
education-num,0.001085241364628,0.0681502047194526,0.0708757972593426,7.691734693683109e-05,17,0.6538461538461539,26,5.029211145869725e-05
race,0.0080854238637797,0.0047649055686065,0.0047033241929336,3.802836966863826e-05,0,0.0,26,0.0
capital-gain,0.0012780459158299,0.0152537962226864,0.0154828518592488,1.978779558411261e-05,17,0.6538461538461539,26,1.2938174035765937e-05
fnlwgt,0.0010561627782204,0.0010457470011959,0.0020757762381158,2.192357598612368e-06,11,0.4230769230769231,26,9.275359071052327e-07
capital-loss,0.0004584637419466,0.0016561934844698,0.0017786708101209,8.154560752993908e-07,13,0.5,26,4.077280376496954e-07
