dataset,variant,selector,best_accuracy,mean_accuracy,mean_balanced_accuracy,mean_joint_mi,min_joint_mi,mean_attacker_ba,min_attacker_ba,mean_dpd,mean_eod,mean_eodds
adult,original,SubsetFACMIM_lambda2.0,0.826,0.8077777777777778,0.6666544368238935,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.055080945423383286,0.07109477553163558,0.07109477553163558
adult,original,SubsetFACMIM_lambda1.0,0.8366666666666667,0.8302222222222223,0.730614068558868,0.6167411092150097,0.6167411092150097,0.6320150260680724,0.6320150260680724,0.15914964058262607,0.08964732650739472,0.09490204423532793
adult,original,BasicFACMIM_lambda2.0,0.8246666666666667,0.8053333333333333,0.6576981152996964,0.6434102247236968,0.6434102247236968,0.5097924933532404,0.5097924933532404,0.04738294650389757,0.060260785858055464,0.060260785858055464
adult,original,FairCFS_lambda2.0,0.812,0.8026666666666666,0.6591428673926302,0.7115628992834111,0.7115628992834111,0.5108244377200616,0.5108244377200616,0.05108490553484126,0.1080773606370876,0.11010325375993153
adult,original,ProxyRank_lambda2.0,0.8233333333333334,0.810888888888889,0.6635839309649835,0.7164172116517342,0.7164172116517342,0.5039421472426926,0.5039421472426926,0.04470694376801412,0.05908812461713486,0.05908812461713486
adult,original,BasicFACMIM_lambda1.0,0.8233333333333334,0.8119999999999999,0.6620763990124809,0.74228959685151,0.74228959685151,0.5118024894410335,0.5118024894410335,0.04933904994584121,0.05119453924914674,0.05119453924914674
adult,original,FairCFS_lambda0.5,0.8366666666666667,0.8295555555555555,0.7343311254390513,0.7552194035599129,0.7552194035599129,0.6698456674304785,0.6698456674304785,0.17981381088870965,0.19842478340771855,0.19842478340771855
adult,original,ProxyRank_lambda1.0,0.8366666666666667,0.8291111111111111,0.7334000267425895,0.7552194035599147,0.7552194035599147,0.6698456674304785,0.6698456674304785,0.18014382017687433,0.20241533210816484,0.20241533210816484
adult,original,SubsetFACMIM_lambda0.5,0.8206666666666667,0.8124444444444444,0.7109484813796567,0.7857500671430095,0.7857500671430095,0.7415707909843592,0.7415707909843592,0.18214383614506569,0.23665003938041482,0.23665003938041482
adult,original,FairmRMR_lambda0.5,0.8386666666666667,0.8322222222222222,0.7360824389241651,0.792670905256804,0.792670905256804,0.6425001397216744,0.6425001397216744,0.17580579485664552,0.17962719873982672,0.17962719873982672
adult,remove_entangled_proxies,SubsetFACMIM_lambda0.5,0.826,0.8086666666666668,0.6678774211012076,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.055080945423383286,0.06710422683118927,0.06710422683118927
adult,remove_entangled_proxies,SubsetFACMIM_lambda1.0,0.826,0.807111111111111,0.6658970018948103,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.0544169347992133,0.06995711910387677,0.06995711910387677
adult,remove_entangled_proxies,SubsetFACMIM_lambda2.0,0.826,0.8077777777777778,0.6666544368238935,0.551601706813253,0.551601706813253,0.5108124615765395,0.5108124615765395,0.055080945423383286,0.07109477553163558,0.07109477553163558
adult,remove_entangled_proxies,BasicFACMIM_lambda2.0,0.8246666666666667,0.8053333333333333,0.6576981152996964,0.6434102247236968,0.6434102247236968,0.5097924933532404,0.5097924933532404,0.04738294650389757,0.060260785858055464,0.060260785858055464
adult,remove_entangled_proxies,ProxyRank_lambda1.0,0.8253333333333334,0.8119999999999999,0.6850880711744237,0.6669760712341315,0.6669760712341315,0.5490542838665379,0.5490542838665379,0.07248494332622749,0.051649601820250246,0.051649601820250246
adult,remove_entangled_proxies,FairCFS_lambda2.0,0.812,0.8026666666666666,0.6591428673926302,0.7115628992834111,0.7115628992834111,0.5108244377200616,0.5108244377200616,0.05108490553484126,0.1080773606370876,0.11010325375993153
adult,remove_entangled_proxies,ProxyRank_lambda2.0,0.8233333333333334,0.810888888888889,0.6635839309649835,0.7164172116517342,0.7164172116517342,0.5039421472426926,0.5039421472426926,0.04470694376801412,0.05908812461713486,0.05908812461713486
adult,remove_entangled_proxies,BasicFACMIM_lambda1.0,0.8233333333333334,0.8119999999999999,0.6620763990124809,0.74228959685151,0.74228959685151,0.5118024894410335,0.5118024894410335,0.04933904994584121,0.05119453924914674,0.05119453924914674
adult,remove_entangled_proxies,FairLasso_lambda0.5,0.7853333333333333,0.7742222222222223,0.638544550871254,0.7956425608371909,0.7956425608371909,0.6614663590128464,0.6614663590128464,0.061884725626551916,0.14346722674367723,0.14346722674367723
adult,remove_entangled_proxies,FairLasso_lambda0.0,0.7853333333333333,0.7731111111111111,0.6371756238035137,0.7956425608371926,0.7956425608371926,0.6614663590128464,0.6614663590128464,0.06521276284308325,0.14745777544412356,0.14745777544412356
