dataset,variant,removed_features,selector,lambda,model,k,selected_features,accuracy,balanced_accuracy,f1,auroc,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,dpd,dpr,equal_opportunity_difference,equalized_odds_difference
adult,original,[],CMIM,,logistic_regression,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.838,0.7411553777064642,0.6209048361934477,0.8866587091156357,0.898943700437556,0.8392102930961525,0.16979377080854935,0.3083502723798683,0.2092412706747177,0.2092412706747177
adult,original,[],CMIM,,random_forest,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8333333333333334,0.748637595515072,0.6268656716417911,0.8702890645637861,0.898943700437556,0.8392102930961525,0.16591749235522837,0.3703967400360535,0.05880808611184041,0.09278608176314979
adult,original,[],CMIM,,gradient_boosting,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8473333333333334,0.7453673355575341,0.6324237560192616,0.89975687072567,0.898943700437556,0.8392102930961525,0.16073980630583878,0.3025290143772735,0.2212129167760567,0.2212129167760567
adult,original,[],mRMR,,logistic_regression,8,"['relationship', 'education-num', 'fnlwgt', 'age', 'race', 'occupation', 'hours-per-week', 'marital-status']",0.8313333333333334,0.7281477169329511,0.6003159557661928,0.869167587981489,0.9071201421085515,0.8243179586264162,0.17674791814705107,0.2710974284679464,0.2349173011289052,0.2349173011289052
adult,original,[],mRMR,,random_forest,8,"['relationship', 'education-num', 'fnlwgt', 'age', 'race', 'occupation', 'hours-per-week', 'marital-status']",0.8226666666666667,0.7224559481063312,0.5882352941176471,0.8608035985089376,0.9071201421085515,0.8243179586264162,0.19276800613178546,0.24850597609561756,0.19732213179312152,0.19732213179312152
adult,original,[],mRMR,,gradient_boosting,8,"['relationship', 'education-num', 'fnlwgt', 'age', 'race', 'occupation', 'hours-per-week', 'marital-status']",0.8313333333333334,0.7310241759531939,0.6040688575899843,0.8795984208827011,0.9071201421085515,0.8243179586264162,0.18275994219514727,0.2645386197146896,0.2263586243108427,0.2263586243108427
adult,original,[],ProxyRank_lambda0.0,0.0,logistic_regression,8,"['relationship', 'marital-status', 'age', 'occupation', 'education', 'education-num', 'hours-per-week', 'workclass']",0.83,0.7291896995372227,0.6009389671361502,0.8675508027668796,0.8759395421531089,0.8262800501401208,0.17677187043409529,0.282852330515337,0.24174323969545808,0.24174323969545808
adult,original,[],ProxyRank_lambda0.0,0.0,random_forest,8,"['relationship', 'marital-status', 'age', 'occupation', 'education', 'education-num', 'hours-per-week', 'workclass']",0.8106666666666666,0.725122053830876,0.5860058309037901,0.8483242669432242,0.8759395421531089,0.8262800501401208,0.1819495564834849,0.349155349926459,0.1220792859018115,0.1220792859018115
adult,original,[],ProxyRank_lambda0.0,0.0,gradient_boosting,8,"['relationship', 'marital-status', 'age', 'occupation', 'education', 'education-num', 'hours-per-week', 'workclass']",0.8346666666666667,0.7408838751969005,0.6184615384615385,0.8788719682219766,0.8759395421531089,0.8262800501401208,0.18779391452227162,0.2707458105321903,0.25366237857705437,0.25366237857705437
adult,original,[],FairmRMR_lambda0.0,0.0,logistic_regression,8,"['relationship', 'education-num', 'fnlwgt', 'age', 'race', 'occupation', 'hours-per-week', 'marital-status']",0.8313333333333334,0.7281477169329511,0.6003159557661928,0.869167587981489,0.9071201421085515,0.8243179586264162,0.17674791814705107,0.2710974284679464,0.2349173011289052,0.2349173011289052
adult,original,[],FairmRMR_lambda0.0,0.0,random_forest,8,"['relationship', 'education-num', 'fnlwgt', 'age', 'race', 'occupation', 'hours-per-week', 'marital-status']",0.8226666666666667,0.7224559481063312,0.5882352941176471,0.8608035985089376,0.9071201421085515,0.8243179586264162,0.19276800613178546,0.24850597609561756,0.19732213179312152,0.19732213179312152
adult,original,[],FairmRMR_lambda0.0,0.0,gradient_boosting,8,"['relationship', 'education-num', 'fnlwgt', 'age', 'race', 'occupation', 'hours-per-week', 'marital-status']",0.8313333333333334,0.7310241759531939,0.6040688575899843,0.8795984208827011,0.9071201421085515,0.8243179586264162,0.18275994219514727,0.2645386197146896,0.2263586243108427,0.2263586243108427
adult,original,[],FairCFS_lambda0.0,0.0,logistic_regression,8,"['relationship', 'occupation', 'marital-status', 'education', 'age', 'hours-per-week', 'race', 'capital-gain']",0.8406666666666667,0.7448243305384066,0.6271450858034321,0.8855213337377335,0.9002770337708927,0.8208169326701211,0.18176991433065334,0.27146034336549385,0.25366237857705437,0.25366237857705437
adult,original,[],FairCFS_lambda0.0,0.0,random_forest,8,"['relationship', 'occupation', 'marital-status', 'education', 'age', 'hours-per-week', 'race', 'capital-gain']",0.8306666666666667,0.7411333639894726,0.6163141993957704,0.8733232885558023,0.9002770337708927,0.8208169326701211,0.18185374733530807,0.3099238028873101,0.13231819375164078,0.13231819375164078
adult,original,[],FairCFS_lambda0.0,0.0,gradient_boosting,8,"['relationship', 'occupation', 'marital-status', 'education', 'age', 'hours-per-week', 'race', 'capital-gain']",0.8446666666666667,0.7455336614192488,0.6307448494453248,0.8988714301088944,0.9002770337708927,0.8208169326701211,0.165761802489441,0.3019819456351808,0.24683644001050148,0.24683644001050148
adult,original,[],FairLasso_lambda0.0,0.0,logistic_regression,8,"['education', 'relationship', 'marital-status', 'occupation', 'workclass', 'native-country', 'race', 'hours-per-week']",0.8266666666666667,0.7212476396403448,0.5886075949367089,0.8633070473245995,0.8545242401154987,0.8188368769411333,0.16376977061693104,0.31037033301393585,0.20246783932790752,0.20246783932790752
adult,original,[],FairLasso_lambda0.0,0.0,random_forest,8,"['education', 'relationship', 'marital-status', 'occupation', 'workclass', 'native-country', 'race', 'hours-per-week']",0.802,0.6887480554549991,0.5322834645669291,0.8291821170347033,0.8545242401154987,0.8188368769411333,0.17276385440203115,0.28752757564782194,0.14444736151220788,0.14444736151220788
adult,original,[],FairLasso_lambda0.0,0.0,gradient_boosting,8,"['education', 'relationship', 'marital-status', 'occupation', 'workclass', 'native-country', 'race', 'hours-per-week']",0.8253333333333334,0.717495523877545,0.5828025477707006,0.8690379516480936,0.8545242401154987,0.8188368769411333,0.15676771870434097,0.325628520401154,0.19222893147807824,0.19222893147807824
adult,original,[],BasicFACMIM_lambda0.0,0.0,logistic_regression,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.838,0.7411553777064642,0.6209048361934477,0.8866587091156357,0.898943700437556,0.8392102930961525,0.16979377080854935,0.3083502723798683,0.2092412706747177,0.2092412706747177
adult,original,[],BasicFACMIM_lambda0.0,0.0,random_forest,8,"['relationship', 'occupation', 'education', 'age', 'native-country', 'hours-per-week', 'capital-gain', 'workclass']",0.8333333333333334,0.748637595515072,0.6268656716417911,0.8702890645637861,0.898943700437556,0.8392102930961525,0.16591749235522837,0.3703967400360535,0.05880808611184041,0.09278608176314979
