dataset,variant,selector,best_accuracy,mean_accuracy,mean_balanced_accuracy,mean_joint_mi,min_joint_mi,mean_attacker_ba,min_attacker_ba,mean_dpd,mean_eod,mean_eodds
adult,original,BasicFACMIM_lambda0.0,0.8473333333333334,0.8395555555555556,0.7450534362596901,0.898943700437556,0.898943700437556,0.8392102930961526,0.8392102930961525,0.1654836898232055,0.1630874245208716,0.17441342307130805
adult,original,BasicFACMIM_lambda0.5,0.848,0.8364444444444444,0.741731810962505,0.892034015119826,0.892034015119826,0.7485668548251883,0.7485668548251883,0.1644936619587116,0.18986610658965608,0.18986610658965608
adult,original,BasicFACMIM_lambda1.0,0.8233333333333334,0.8119999999999999,0.6620763990124809,0.74228959685151,0.74228959685151,0.5118024894410335,0.5118024894410335,0.04933904994584121,0.05119453924914674,0.05119453924914674
adult,original,BasicFACMIM_lambda2.0,0.8246666666666667,0.8053333333333333,0.6576981152996964,0.6434102247236968,0.6434102247236968,0.5097924933532404,0.5097924933532404,0.04738294650389757,0.060260785858055464,0.060260785858055464
adult,original,CMIM,0.8473333333333334,0.8395555555555556,0.7450534362596901,0.898943700437556,0.898943700437556,0.8392102930961526,0.8392102930961525,0.1654836898232055,0.1630874245208716,0.17441342307130805
adult,original,FairCFS_lambda0.0,0.8446666666666667,0.8386666666666667,0.743830451982376,0.9002770337708927,0.9002770337708927,0.820816932670121,0.8208169326701211,0.17646182138513414,0.21093900411306554,0.21093900411306554
adult,original,FairCFS_lambda0.5,0.8366666666666667,0.8295555555555555,0.7343311254390513,0.7552194035599129,0.7552194035599129,0.6698456674304785,0.6698456674304785,0.17981381088870965,0.19842478340771855,0.19842478340771855
adult,original,FairCFS_lambda1.0,0.8333333333333334,0.8284444444444444,0.7313641655822872,0.7976918655500178,0.7976918655500178,0.6439851815184153,0.6439851815184153,0.17580978690448626,0.17166360374551495,0.17166360374551495
adult,original,FairCFS_lambda2.0,0.812,0.8026666666666666,0.6591428673926302,0.7115628992834111,0.7115628992834111,0.5108244377200616,0.5108244377200616,0.05108490553484126,0.1080773606370876,0.11010325375993153
adult,original,FairLasso_lambda0.0,0.8266666666666667,0.8180000000000001,0.7091637396576296,0.8545242401154987,0.8545242401154987,0.8188368769411333,0.8188368769411333,0.16443378124110106,0.17971471077273118,0.17971471077273118
adult,original,FairLasso_lambda0.5,0.826,0.8153333333333332,0.7099692786349538,0.8356685891770592,0.8356685891770592,0.8222780221798178,0.8222780221798178,0.17178979472890002,0.1950818237507657,0.1950818237507657
adult,original,FairLasso_lambda1.0,0.8266666666666667,0.819111111111111,0.7156463716502461,0.8161718858501725,0.8161718858501725,0.817798944502551,0.8177989445025509,0.1648077030555134,0.16886321869257018,0.16886321869257018
adult,original,FairLasso_lambda2.0,0.8266666666666667,0.819111111111111,0.7156463716502461,0.8161718858501725,0.8161718858501725,0.817798944502551,0.8177989445025509,0.1648077030555134,0.16886321869257018,0.16886321869257018
adult,original,FairmRMR_lambda0.0,0.8313333333333334,0.8284444444444444,0.7272092803308254,0.9071201421085515,0.9071201421085515,0.8243179586264162,0.8243179586264162,0.18409195549132792,0.21953268574428977,0.21953268574428977
adult,original,FairmRMR_lambda0.5,0.8386666666666667,0.8322222222222222,0.7360824389241651,0.792670905256804,0.792670905256804,0.6425001397216744,0.6425001397216744,0.17580579485664552,0.17962719873982672,0.17962719873982672
adult,original,FairmRMR_lambda1.0,0.8333333333333334,0.8300000000000001,0.7323857651152704,0.792670905256804,0.792670905256804,0.6425001397216744,0.6425001397216744,0.17446978951262415,0.18419532685744286,0.18419532685744286
adult,original,FairmRMR_lambda2.0,0.8186666666666667,0.8088888888888889,0.6734566753743149,0.8030014317720671,0.8030014317720671,0.5525253694640276,0.5525253694640276,0.0740870851929623,0.105241970770981,0.105241970770981
adult,original,ProxyRank_lambda0.0,0.8346666666666667,0.8251111111111111,0.731731876188333,0.8759395421531089,0.8759395421531089,0.8262800501401207,0.8262800501401208,0.1821717804799506,0.20582830139144134,0.20582830139144134
adult,original,ProxyRank_lambda0.5,0.8446666666666667,0.8373333333333334,0.7477488936068905,0.8824576631354262,0.8824576631354262,0.748554878681666,0.748554878681666,0.17151966615834588,0.20920626586155597,0.20920626586155597
