feature,mi_feature_sensitive,mi_feature_target,cmi_feature_target_given_sensitive,entanglement_score,selection_count,selection_frequency
age,0.054369048990000834,0.01177942381152608,0.01488225643971013,0.0008091341294523554,0,0.0
employment,0.03557537427227597,0.013102322536286515,0.014864027224943156,0.0005287933317206524,0,0.0
purpose,0.01661425435849484,0.024893540002036474,0.029551043450660258,0.0004909685524482026,0,0.0
credit_history,0.010200265136939723,0.0436177993104403,0.04614310301985905,0.0004706718850436863,0,0.0
housing,0.03727449705510333,0.01275318647802326,0.012530949246879588,0.00046708483080046243,0,0.0
duration,0.006142943595130568,0.0322957073795882,0.03773380544437223,0.00023179663847440932,0,0.0
credit_amount,0.011700538649475511,0.014435537833950907,0.016808399833877524,0.00019666733189212173,0,0.0
property_magnitude,0.006213896976290378,0.016985185935771696,0.020357410093428764,0.00012649884902466024,0,0.0
savings_status,0.0032434856094178954,0.028114675087584917,0.03215456095970349,0.00010429285574994874,0,0.0
installment_commitment,0.011840890391033199,0.003972131851941896,0.007964252668334674,9.430384289224455e-05,0,0.0
checking_status,0.0005369606910408109,0.09473884155263956,0.09554446028145534,5.130361941785157e-05,0,0.0
residence_since,0.008647062694806529,0.0005425012434177034,0.0032196533270772098,2.7840544174779065e-05,0,0.0
other_payment_plans,0.0020838720868845417,0.008875070307599042,0.010737558682194902,2.237569881911072e-05,0,0.0
existing_credits,0.00806099256979298,0.0019783313005130587,0.002590893990578089,2.0885177207171257e-05,0,0.0
foreign_worker,0.0020657802735355446,0.005822991014286627,0.006513955450215112,1.3456400671743725e-05,0,0.0
