feature,mi_feature_sensitive,mi_feature_target,cmi_feature_target_given_sensitive,entanglement_score,selection_count,selection_frequency,selection_denominator,entanglement_selection_score
age,0.0543690489900008,0.011779423811526,0.0148822564397101,0.0008091341294523,0,0.0,26,0.0
employment,0.0355753742722759,0.0131023225362865,0.0148640272249431,0.0005287933317206,14,0.5384615384615384,26,0.00028473487092647696
purpose,0.0166142543584948,0.0248935400020364,0.0295510434506602,0.0004909685524482,13,0.5,26,0.0002454842762241
credit_history,0.0102002651369397,0.0436177993104403,0.046143103019859,0.0004706718850436,21,0.8076923076923077,26,0.0003801580609967539
housing,0.0372744970551033,0.0127531864780232,0.0125309492468795,0.0004670848308004,3,0.11538461538461539,26,5.389440355389231e-05
duration,0.0061429435951305,0.0322957073795882,0.0377338054443722,0.0002317966384744,24,0.9230769230769231,26,0.00021396612782252308
credit_amount,0.0117005386494755,0.0144355378339509,0.0168083998338775,0.0001966673318921,3,0.11538461538461539,26,2.2692384449088462e-05
property_magnitude,0.0062138969762903,0.0169851859357716,0.0203574100934287,0.0001264988490246,22,0.8461538461538461,26,0.0001070374876362
savings_status,0.0032434856094178,0.0281146750875849,0.0321545609597034,0.0001042928557499,24,0.9230769230769231,26,9.627032838452309e-05
installment_commitment,0.0118408903910331,0.0039721318519418,0.0079642526683346,9.430384289224456e-05,9,0.34615384615384615,26,3.2643637924238504e-05
checking_status,0.0005369606910408,0.0947388415526395,0.0955444602814553,5.130361941785157e-05,26,1.0,26,5.130361941785157e-05
residence_since,0.0086470626948065,0.0005425012434177,0.0032196533270772,2.7840544174779065e-05,0,0.0,26,0.0
other_payment_plans,0.0020838720868845,0.008875070307599,0.0107375586821949,2.237569881911072e-05,22,0.8461538461538461,26,1.8933283616170608e-05
existing_credits,0.0080609925697929,0.001978331300513,0.002590893990578,2.0885177207171257e-05,1,0.038461538461538464,26,8.032760464296637e-07
foreign_worker,0.0020657802735355,0.0058229910142866,0.0065139554502151,1.3456400671743725e-05,15,0.5769230769230769,26,7.763308079852148e-06
