feature,mi_feature_sensitive,mi_feature_target,cmi_feature_target_given_sensitive,entanglement_score,selection_count,selection_frequency,seed,scenario
P1_proxy,0.4008881231796533,0.08119585934481632,0.022429247408172974,0.008991618897794566,0,0.0,1,triangle_entangled
P2_proxy,0.1862205901704015,0.040801723923992395,0.008190639640522027,0.0015252657477310971,0,0.0,1,triangle_entangled
T1_target,0.00034107459706311793,0.0317684117145689,0.03334393687762447,1.1372769835033805e-05,0,0.0,1,triangle_entangled
T2_target,0.00024045449474985325,0.022066275178068473,0.023278579889762716,5.597439165886989e-06,0,0.0,1,triangle_entangled
N4_noise,0.0001849962856670384,0.0002239497884810593,0.00019329532684030605,3.575891750225282e-08,0,0.0,1,triangle_entangled
N6_noise,0.00010271748796153446,5.999547077317757e-05,0.00015345327625576814,1.5762335056459884e-08,0,0.0,1,triangle_entangled
N5_noise,4.66426967575817e-05,5.1304599881563107e-05,7.539599742787862e-05,3.5166726447639525e-09,0,0.0,1,triangle_entangled
N1_noise,1.1495096913227698e-05,3.65313013379609e-05,0.00014614586537206522,1.6799608859194176e-09,0,0.0,1,triangle_entangled
N3_noise,0.0002790189366672635,2.1928114238844998e-05,4.12051206452162e-06,1.149700894767453e-09,0,0.0,1,triangle_entangled
N2_noise,4.2268731334837994e-05,1.857471155441992e-05,6.381553585401932e-06,2.697401740002264e-10,0,0.0,1,triangle_entangled
P1_proxy,0.3793198870065262,0.0713219309979849,0.015294208105814224,0.005801397290551748,0,0.0,2,triangle_entangled
P2_proxy,0.19164872373591368,0.036515842495378426,0.005364652871872778,0.001028128876180622,0,0.0,2,triangle_entangled
T2_target,5.115733437688341e-05,0.010282669977901282,0.011833060234676274,6.053478191271367e-07,0,0.0,2,triangle_entangled
T1_target,7.575464000542098e-06,0.023802021184090583,0.026676898572605315,2.0208988478288445e-07,0,0.0,2,triangle_entangled
N5_noise,0.0001092763913224104,8.809047077518173e-05,0.00020471343913553382,2.2370345883931038e-08,0,0.0,2,triangle_entangled
N3_noise,1.6342464594032435e-05,2.9004139087795977e-05,0.00012490010568974008,2.0411755550254866e-09,0,0.0,2,triangle_entangled
N1_noise,1.3943275972705393e-05,7.989996897639351e-05,0.00013936619545184748,1.9432213244511084e-09,0,0.0,2,triangle_entangled
N2_noise,4.0763107516106345e-06,0.0002147073144627143,0.0003564868006942181,1.4531509784771186e-09,0,0.0,2,triangle_entangled
N4_noise,2.804880314011271e-06,0.0003079812988802111,0.0004645738353682121,1.3030740052290112e-09,0,0.0,2,triangle_entangled
N6_noise,1.094388137889979e-06,0.00013856113556820482,0.00015487560058154485,1.69494020125029e-10,0,0.0,2,triangle_entangled
P1_proxy,0.3957480646079681,0.08228705451074281,0.02204041095938436,0.00872244998034061,0,0.0,3,triangle_entangled
P2_proxy,0.19557687748710362,0.04993787492470414,0.012280370295025423,0.002401756476686454,0,0.0,3,triangle_entangled
T1_target,9.719821650167049e-05,0.020381817512001632,0.02356645206954887,2.2906171104322512e-06,0,0.0,3,triangle_entangled
N4_noise,0.00013320766972291231,0.00021244100067097094,0.0002206626882445976,2.9393962495856323e-08,0,0.0,3,triangle_entangled
N6_noise,0.00017522721976037658,0.00020819889640355527,0.000128189294956388,2.2462253758250733e-08,0,0.0,3,triangle_entangled
N1_noise,0.00042920730954598696,0.00010268495511600584,4.2941041730322825e-05,1.843060899017381e-08,0,0.0,3,triangle_entangled
T2_target,1.0538760100153866e-06,0.014596309975675403,0.016312501715767473,1.7191354221582173e-08,0,0.0,3,triangle_entangled
N3_noise,1.9327891707110467e-05,3.55016807427333e-05,5.9584208542002234e-05,1.1516371301537057e-09,0,0.0,3,triangle_entangled
N2_noise,1.1339549721434139e-07,3.2757748761103045e-05,0.00040138772338481023,4.551556046895308e-11,0,0.0,3,triangle_entangled
N5_noise,1.119401744631432e-07,3.7848164475162704e-05,0.0002537447719561147,2.8404234041877962e-11,0,0.0,3,triangle_entangled
P1_proxy,0.40650696307277157,0.0645313901179847,0.012110520870091237,0.004923011060130208,0,0.0,4,triangle_entangled
P2_proxy,0.193515356329919,0.04896611439933207,0.012778601845149538,0.0024728556894622732,0,0.0,4,triangle_entangled
T1_target,0.00018441226746879202,0.02892067658223807,0.03021704384041765,5.5723935708153145e-06,0,0.0,4,triangle_entangled
T2_target,0.00011942241499496298,0.017396611370150472,0.018461989352092662,2.2047753540381976e-06,0,0.0,4,triangle_entangled
N2_noise,0.0001874546017908152,0.001312554167391955,0.0011434343303981197,2.1434202707872694e-07,0,0.0,4,triangle_entangled
N4_noise,0.00016625217371579737,3.8031805835725407e-06,4.654741682107932e-05,7.738609227359707e-09,0,0.0,4,triangle_entangled
N3_noise,1.1765280411468737e-05,1.0239512688636765e-05,0.00013719882342335375,1.614182629699342e-09,0,0.0,4,triangle_entangled
N6_noise,7.2985219898846765e-06,1.3350227964226136e-05,2.2118656632254738e-05,1.6143350181721976e-10,0,0.0,4,triangle_entangled
N1_noise,2.759676558383717e-06,4.2415217691660345e-05,4.6784983973192596e-05,1.291114235551775e-10,0,0.0,4,triangle_entangled
N5_noise,8.948572527422982e-07,1.2408645679862218e-05,4.777773795357092e-05,4.2754255327373906e-11,0,0.0,4,triangle_entangled
P1_proxy,0.3830331527013664,0.0808483719904769,0.02604721646915041,0.009976947443273635,0,0.0,5,triangle_entangled
P2_proxy,0.17458279895806683,0.03244663232215439,0.005555038912280128,0.0009698142416268399,0,0.0,5,triangle_entangled
T2_target,5.962130330305904e-05,0.022895250885952345,0.024442864655402782,1.457315447215391e-06,0,0.0,5,triangle_entangled
T1_target,3.3728693869861104e-05,0.02832839989980296,0.03154513047522025,1.06397604888353e-06,0,0.0,5,triangle_entangled
N5_noise,0.0001810843759595393,0.00030623500602300346,0.0003496084263418506,6.330862371431058e-08,0,0.0,5,triangle_entangled
N3_noise,0.00018806675884808222,4.168758093925362e-05,0.00011803017056928944,2.2197551625252567e-08,0,0.0,5,triangle_entangled
N6_noise,0.0001037448031158128,7.953202564348061e-05,5.262282192245671e-05,5.4593442997437486e-09,0,0.0,5,triangle_entangled
N2_noise,2.7076560921157622e-05,7.537155839454357e-06,5.8829221090604736e-05,1.59289298880401e-09,0,0.0,5,triangle_entangled
N4_noise,6.868458596542837e-06,0.00015098022566095715,0.0001999595365424849,1.373413797725952e-09,0,0.0,5,triangle_entangled
N1_noise,2.897121735623287e-06,5.823571934748806e-05,0.00031285218103834644,9.063708537233451e-10,0,0.0,5,triangle_entangled
T1_target,0.00034107459706311793,0.17905990142944006,0.17921908722973823,6.112707796290275e-05,0,0.0,1,target_only_no_proxy
T2_target,0.00024045449474985325,0.13411434258140442,0.13469255259552168,3.23874296809242e-05,0,0.0,1,target_only_no_proxy
N3_noise,0.0002790189366672635,2.0129897437159983e-05,0.00024638078923798,6.874490582842235e-08,0,0.0,1,target_only_no_proxy
P1_irrelevant,0.000465032893412598,7.025553492967518e-05,7.501504892364931e-05,3.488446525045223e-08,0,0.0,1,target_only_no_proxy
N4_noise,0.0001849962856670384,6.378836571085955e-05,0.0001498228377128628,2.7716668484975102e-08,0,0.0,1,target_only_no_proxy
N2_noise,4.2268731334837994e-05,0.00017684391640448993,0.0005723904809421501,2.4194219457562452e-08,0,0.0,1,target_only_no_proxy
N6_noise,0.00010271748796153446,6.83222793373961e-05,0.00017370587577770146,1.784263120404385e-08,0,0.0,1,target_only_no_proxy
N5_noise,4.66426967575817e-05,7.18774454122606e-05,0.00021277199893666456,9.924259824907341e-09,0,0.0,1,target_only_no_proxy
N1_noise,1.1495096913227698e-05,1.052226627806796e-05,1.1217991217641554e-05,1.2895189621852684e-10,0,0.0,1,target_only_no_proxy
P2_irrelevant,5.788393317329721e-06,5.589926312943305e-07,8.479787768171841e-06,4.908434684966019e-11,0,0.0,1,target_only_no_proxy
T2_target,5.115733437688341e-05,0.1301125356160544,0.13010651524725114,6.655902505114707e-06,0,0.0,2,target_only_no_proxy
T1_target,7.575464000542098e-06,0.18368857408253203,0.18372366496682108,1.3917920100038106e-06,0,0.0,2,target_only_no_proxy
N2_noise,4.0763107516106345e-06,0.0017564552168947145,0.001936233053141008,7.892687612142576e-09,0,0.0,2,target_only_no_proxy
P1_irrelevant,0.00018463581548022745,5.586586300676544e-06,3.920930233095237e-05,7.239441510286174e-09,0,0.0,2,target_only_no_proxy
N5_noise,0.0001092763913224104,3.3152541062397844e-05,3.450042514949132e-05,3.770081959425343e-09,0,0.0,2,target_only_no_proxy
N3_noise,1.6342464594032435e-05,1.8502064339509516e-05,0.00020451693730197244,3.342310806737436e-09,0,0.0,2,target_only_no_proxy
N4_noise,2.804880314011271e-06,1.2938386052763207e-05,0.00041887932179977903,1.1749063636625925e-09,0,0.0,2,target_only_no_proxy
N1_noise,1.3943275972705393e-05,6.15238806149776e-05,6.361904691599145e-05,8.870579282701607e-10,0,0.0,2,target_only_no_proxy
P2_irrelevant,2.946608445264509e-05,2.443486799652561e-05,2.530693333784053e-05,7.456962349702686e-10,0,0.0,2,target_only_no_proxy
N6_noise,1.094388137889979e-06,2.445560908381772e-05,8.592868281641767e-05,9.403933117879796e-11,0,0.0,2,target_only_no_proxy
T1_target,9.719821650167049e-05,0.18002351489007595,0.18018509878209044,1.7513670241796508e-05,0,0.0,3,target_only_no_proxy
P2_irrelevant,0.001177227039645734,0.000586588478936001,0.000627782344982448,7.390423515255442e-07,0,0.0,3,target_only_no_proxy
T2_target,1.0538760100153866e-06,0.12868233614426283,0.1287404418891915,1.3567646322579888e-07,0,0.0,3,target_only_no_proxy
N1_noise,0.00042920730954598696,2.8027393127461053e-05,0.0003045114056257181,1.3069852113468118e-07,0,0.0,3,target_only_no_proxy
N3_noise,1.9327891707110467e-05,0.0003734000398285531,0.0003863020159823156,7.466403531144654e-09,0,0.0,3,target_only_no_proxy
N4_noise,0.00013320766972291231,6.951484329720259e-06,1.3909704326388626e-05,1.8528792998529406e-09,0,0.0,3,target_only_no_proxy
N6_noise,0.00017522721976037658,2.98112957919372e-06,3.88969776093111e-06,6.815809243561204e-10,0,0.0,3,target_only_no_proxy
P1_irrelevant,1.0142897315379429e-06,0.00011217128119644926,0.00012578828865073328,1.275857695261695e-10,0,0.0,3,target_only_no_proxy
N5_noise,1.119401744631432e-07,6.938247031573752e-06,0.0006943404665502931,7.772459296246005e-11,0,0.0,3,target_only_no_proxy
N2_noise,1.1339549721434139e-07,8.588616435822871e-06,0.00011015025249013968,1.2490542649404635e-11,0,0.0,3,target_only_no_proxy
T1_target,0.00018441226746879202,0.1772737876548518,0.17756649352693515,3.274543969778469e-05,0,0.0,4,target_only_no_proxy
T2_target,0.00011942241499496298,0.13622606171920437,0.13627681098974348,1.6274505876207278e-05,0,0.0,4,target_only_no_proxy
P2_irrelevant,0.0003113167965826946,3.580364805677583e-05,0.000626187808856486,1.949427827123379e-07,0,0.0,4,target_only_no_proxy
N2_noise,0.0001874546017908152,0.00024054054422628646,0.00024055631430290454,4.509338810591715e-08,0,0.0,4,target_only_no_proxy
P1_irrelevant,3.8084099957647055e-05,9.313088314644169e-05,0.00015321153170716072,5.8349232881997195e-09,0,0.0,4,target_only_no_proxy
N3_noise,1.1765280411468737e-05,0.0003614352809253596,0.0003615141288584045,4.253315098726971e-09,0,0.0,4,target_only_no_proxy
N4_noise,0.00016625217371579737,8.288951053536664e-06,2.4270753045411194e-05,4.03506545151892e-09,0,0.0,4,target_only_no_proxy
N6_noise,7.2985219898846765e-06,0.0004055158306133233,0.00042910437140994233,3.1318276906911054e-09,0,0.0,4,target_only_no_proxy
N1_noise,2.759676558383717e-06,5.785518854173333e-05,8.092866583557984e-05,2.2333694200771884e-10,0,0.0,4,target_only_no_proxy
N5_noise,8.948572527422982e-07,5.704434190123564e-06,7.957433863275297e-06,7.1207674057690644e-12,0,0.0,4,target_only_no_proxy
T2_target,5.962130330305904e-05,0.13994561455354493,0.14020710977566755,8.359330617180369e-06,0,0.0,5,target_only_no_proxy
T1_target,3.3728693869861104e-05,0.19533604611055533,0.19533472679205,6.58838520212201e-06,0,0.0,5,target_only_no_proxy
N3_noise,0.00018806675884808222,0.00015171360054289096,0.00031238843357841084,5.874988020472114e-08,0,0.0,5,target_only_no_proxy
P2_irrelevant,0.00016286807564824812,0.00023993230893437634,0.0002633165670739448,4.288586256563624e-08,0,0.0,5,target_only_no_proxy
N5_noise,0.0001810843759595393,0.00012574660895792178,0.00012693808860034217,2.2986504559689672e-08,0,0.0,5,target_only_no_proxy
N6_noise,0.0001037448031158128,5.5446083811583335e-05,0.00016484461975013254,1.7101772620678526e-08,0,0.0,5,target_only_no_proxy
P1_irrelevant,6.19871745337619e-05,1.2832259044470717e-05,4.577755125696293e-05,2.8376210594935927e-09,0,0.0,5,target_only_no_proxy
N4_noise,6.868458596542837e-06,6.05301691978255e-05,0.00021583323186284887,1.4824416168080077e-09,0,0.0,5,target_only_no_proxy
N2_noise,2.7076560921157622e-05,2.6471549037898612e-05,2.688311379318975e-05,7.27902268371715e-10,0,0.0,5,target_only_no_proxy
N1_noise,2.897121735623287e-06,0.00017965819408494177,0.00020044937852370558,5.807262514132071e-10,0,0.0,5,target_only_no_proxy
P1_sensitive_only,0.541219487207846,0.0004893938504932915,0.000403161202535657,0.0002181986992984468,0,0.0,1,sensitive_only_not_target
T1_target,0.00034107459706311793,0.17905990142944006,0.17921908722973823,6.112707796290275e-05,0,0.0,1,sensitive_only_not_target
T2_target,0.00024045449474985325,0.13411434258140442,0.13469255259552168,3.23874296809242e-05,0,0.0,1,sensitive_only_not_target
P2_sensitive_only,0.2812919797713631,0.00016750824925160224,5.662426101480098e-05,1.592795048394378e-05,0,0.0,1,sensitive_only_not_target
N3_noise,0.0002790189366672635,2.0129897437159983e-05,0.00024638078923798,6.874490582842235e-08,0,0.0,1,sensitive_only_not_target
N4_noise,0.0001849962856670384,6.378836571085955e-05,0.0001498228377128628,2.7716668484975102e-08,0,0.0,1,sensitive_only_not_target
N2_noise,4.2268731334837994e-05,0.00017684391640448993,0.0005723904809421501,2.4194219457562452e-08,0,0.0,1,sensitive_only_not_target
N6_noise,0.00010271748796153446,6.83222793373961e-05,0.00017370587577770146,1.784263120404385e-08,0,0.0,1,sensitive_only_not_target
N5_noise,4.66426967575817e-05,7.18774454122606e-05,0.00021277199893666456,9.924259824907341e-09,0,0.0,1,sensitive_only_not_target
N1_noise,1.1495096913227698e-05,1.052226627806796e-05,1.1217991217641554e-05,1.2895189621852684e-10,0,0.0,1,sensitive_only_not_target
P2_sensitive_only,0.29281093296628424,0.00041480120690029487,0.0004018949278920762,0.00011767922879049636,0,0.0,2,sensitive_only_not_target
P1_sensitive_only,0.514804045676575,0.00020118831823778827,0.00020837052096800936,0.00010726998719406681,0,0.0,2,sensitive_only_not_target
T2_target,5.115733437688341e-05,0.1301125356160544,0.13010651524725114,6.655902505114707e-06,0,0.0,2,sensitive_only_not_target
T1_target,7.575464000542098e-06,0.18368857408253203,0.18372366496682108,1.3917920100038106e-06,0,0.0,2,sensitive_only_not_target
N2_noise,4.0763107516106345e-06,0.0017564552168947145,0.001936233053141008,7.892687612142576e-09,0,0.0,2,sensitive_only_not_target
N5_noise,0.0001092763913224104,3.3152541062397844e-05,3.450042514949132e-05,3.770081959425343e-09,0,0.0,2,sensitive_only_not_target
N3_noise,1.6342464594032435e-05,1.8502064339509516e-05,0.00020451693730197244,3.342310806737436e-09,0,0.0,2,sensitive_only_not_target
N4_noise,2.804880314011271e-06,1.2938386052763207e-05,0.00041887932179977903,1.1749063636625925e-09,0,0.0,2,sensitive_only_not_target
N1_noise,1.3943275972705393e-05,6.15238806149776e-05,6.361904691599145e-05,8.870579282701607e-10,0,0.0,2,sensitive_only_not_target
N6_noise,1.094388137889979e-06,2.445560908381772e-05,8.592868281641767e-05,9.403933117879796e-11,0,0.0,2,sensitive_only_not_target
P2_sensitive_only,0.28395840787009674,9.717271184683796e-05,0.0010309405687971775,0.00029274424252433845,0,0.0,3,sensitive_only_not_target
P1_sensitive_only,0.541909039933135,5.1811702881598976e-05,3.432234481317353e-05,1.8599588925960884e-05,0,0.0,3,sensitive_only_not_target
T1_target,9.719821650167049e-05,0.18002351489007595,0.18018509878209044,1.7513670241796508e-05,0,0.0,3,sensitive_only_not_target
T2_target,1.0538760100153866e-06,0.12868233614426283,0.1287404418891915,1.3567646322579888e-07,0,0.0,3,sensitive_only_not_target
N1_noise,0.00042920730954598696,2.8027393127461053e-05,0.0003045114056257181,1.3069852113468118e-07,0,0.0,3,sensitive_only_not_target
N3_noise,1.9327891707110467e-05,0.0003734000398285531,0.0003863020159823156,7.466403531144654e-09,0,0.0,3,sensitive_only_not_target
N4_noise,0.00013320766972291231,6.951484329720259e-06,1.3909704326388626e-05,1.8528792998529406e-09,0,0.0,3,sensitive_only_not_target
N6_noise,0.00017522721976037658,2.98112957919372e-06,3.88969776093111e-06,6.815809243561204e-10,0,0.0,3,sensitive_only_not_target
N5_noise,1.119401744631432e-07,6.938247031573752e-06,0.0006943404665502931,7.772459296246005e-11,0,0.0,3,sensitive_only_not_target
N2_noise,1.1339549721434139e-07,8.588616435822871e-06,0.00011015025249013968,1.2490542649404635e-11,0,0.0,3,sensitive_only_not_target
P1_sensitive_only,0.5457625587943202,4.261511858949518e-07,0.0003287375822915948,0.00017941266408331917,0,0.0,4,sensitive_only_not_target
P2_sensitive_only,0.26816863976777117,0.00010483410122086312,0.00022804056923498024,6.115332926361289e-05,0,0.0,4,sensitive_only_not_target
T1_target,0.00018441226746879202,0.1772737876548518,0.17756649352693515,3.274543969778469e-05,0,0.0,4,sensitive_only_not_target
T2_target,0.00011942241499496298,0.13622606171920437,0.13627681098974348,1.6274505876207278e-05,0,0.0,4,sensitive_only_not_target
N2_noise,0.0001874546017908152,0.00024054054422628646,0.00024055631430290454,4.509338810591715e-08,0,0.0,4,sensitive_only_not_target
N3_noise,1.1765280411468737e-05,0.0003614352809253596,0.0003615141288584045,4.253315098726971e-09,0,0.0,4,sensitive_only_not_target
N4_noise,0.00016625217371579737,8.288951053536664e-06,2.4270753045411194e-05,4.03506545151892e-09,0,0.0,4,sensitive_only_not_target
N6_noise,7.2985219898846765e-06,0.0004055158306133233,0.00042910437140994233,3.1318276906911054e-09,0,0.0,4,sensitive_only_not_target
N1_noise,2.759676558383717e-06,5.785518854173333e-05,8.092866583557984e-05,2.2333694200771884e-10,0,0.0,4,sensitive_only_not_target
N5_noise,8.948572527422982e-07,5.704434190123564e-06,7.957433863275297e-06,7.1207674057690644e-12,0,0.0,4,sensitive_only_not_target
P2_sensitive_only,0.26476458088580346,4.620566181845476e-05,0.0003835732568867343,0.00010155661259861882,0,0.0,5,sensitive_only_not_target
P1_sensitive_only,0.5320077271812578,2.959460148987958e-05,0.00014225989433152365,7.56833630523598e-05,0,0.0,5,sensitive_only_not_target
T2_target,5.962130330305904e-05,0.13994561455354493,0.14020710977566755,8.359330617180369e-06,0,0.0,5,sensitive_only_not_target
T1_target,3.3728693869861104e-05,0.19533604611055533,0.19533472679205,6.58838520212201e-06,0,0.0,5,sensitive_only_not_target
N3_noise,0.00018806675884808222,0.00015171360054289096,0.00031238843357841084,5.874988020472114e-08,0,0.0,5,sensitive_only_not_target
N5_noise,0.0001810843759595393,0.00012574660895792178,0.00012693808860034217,2.2986504559689672e-08,0,0.0,5,sensitive_only_not_target
N6_noise,0.0001037448031158128,5.5446083811583335e-05,0.00016484461975013254,1.7101772620678526e-08,0,0.0,5,sensitive_only_not_target
N4_noise,6.868458596542837e-06,6.05301691978255e-05,0.00021583323186284887,1.4824416168080077e-09,0,0.0,5,sensitive_only_not_target
N2_noise,2.7076560921157622e-05,2.6471549037898612e-05,2.688311379318975e-05,7.27902268371715e-10,0,0.0,5,sensitive_only_not_target
N1_noise,2.897121735623287e-06,0.00017965819408494177,0.00020044937852370558,5.807262514132071e-10,0,0.0,5,sensitive_only_not_target
P1_weak_proxy,0.12797279700097253,0.028944122498588243,0.011218890605337078,0.0014357128100129196,0,0.0,1,weak_joint_entangled
P3_weak_proxy,0.13103605764670512,0.026945305788112384,0.009714898374510561,0.0012730019834342476,0,0.0,1,weak_joint_entangled
P2_weak_proxy,0.11512400964293135,0.023040070324305884,0.007911546476806572,0.0009108089528863793,0,0.0,1,weak_joint_entangled
T1_target,0.00025863012196936097,0.025494596099386202,0.025600527108565772,6.621067448568298e-06,0,0.0,1,weak_joint_entangled
T2_target,5.024725407953845e-05,0.01049665286167234,0.010752263498697325,5.402717159491915e-07,0,0.0,1,weak_joint_entangled
N3_noise,0.0001849962856670384,0.00011553360833183035,0.0004401920544563097,8.143389505455999e-08,0,0.0,1,weak_joint_entangled
N2_noise,0.0002790189366672635,0.0002092028793319045,0.00025694260466052756,7.169185233689747e-08,0,0.0,1,weak_joint_entangled
N5_noise,0.00010271748796153446,0.0002180759194854165,0.0003122015614707379,3.2068560131942785e-08,0,0.0,1,weak_joint_entangled
N4_noise,4.66426967575817e-05,0.0005141100351426786,0.0004988338531536278,2.32669561450607e-08,0,0.0,1,weak_joint_entangled
N6_noise,6.0271442970272204e-05,3.24915603311382e-08,0.00026666478333106544,1.6072271280718306e-08,0,0.0,1,weak_joint_entangled
N1_noise,4.2268731334837994e-05,0.00011055183507213684,0.0001235262325498344,5.22129713645367e-09,0,0.0,1,weak_joint_entangled
P1_weak_proxy,0.128208541440757,0.024195778156292036,0.00880484432200818,0.0011288562481375996,0,0.0,2,weak_joint_entangled
P2_weak_proxy,0.12097029063560427,0.020936898051715502,0.00725141125508791,0.0008772053270462764,0,0.0,2,weak_joint_entangled
P3_weak_proxy,0.11225927697188132,0.01992889835507672,0.007066391116299642,0.0007932679575163231,0,0.0,2,weak_joint_entangled
T1_target,4.284309925717267e-06,0.023886524944041643,0.02525181172442434,1.0818658761329484e-07,0,0.0,2,weak_joint_entangled
N6_noise,0.0005960999463765493,7.814615727386176e-05,0.00012456816789699855,7.425507820362582e-08,0,0.0,2,weak_joint_entangled
N4_noise,0.0001092763913224104,0.0002843747542025099,0.00026879243225171674,2.9372667011241088e-08,0,0.0,2,weak_joint_entangled
T2_target,2.9058046802088455e-06,0.008137908101607083,0.008770819642895495,2.5486288767593403e-08,0,0.0,2,weak_joint_entangled
N1_noise,4.0763107516106345e-06,0.0005654641243815206,0.0007228781112718575,2.9466758170814615e-09,0,0.0,2,weak_joint_entangled
N2_noise,1.6342464594032435e-05,1.0169912553648075e-05,2.0522250556196695e-05,3.353841531045069e-10,0,0.0,2,weak_joint_entangled
N5_noise,1.094388137889979e-06,3.0376329944736824e-06,2.704176871906192e-05,2.9594190913705656e-11,0,0.0,2,weak_joint_entangled
N3_noise,2.804880314011271e-06,9.18992567289223e-06,7.673452716649055e-06,2.152311646542524e-11,0,0.0,2,weak_joint_entangled
P1_weak_proxy,0.12642964467926987,0.025006367907935312,0.008687270829845975,0.0010983285642500126,0,0.0,3,weak_joint_entangled
P3_weak_proxy,0.10706631268688271,0.025926756650131333,0.010067072411526028,0.0010778443226539362,0,0.0,3,weak_joint_entangled
P2_weak_proxy,0.12723726579947692,0.02250132052700904,0.006919613150894805,0.0008804326577099583,0,0.0,3,weak_joint_entangled
T1_target,9.049818349771144e-05,0.02096147677617055,0.02268632433259596,2.053071142339865e-06,0,0.0,3,weak_joint_entangled
T2_target,9.078284802344072e-05,0.009921477806576817,0.011340726056740275,1.0295434100845265e-06,0,0.0,3,weak_joint_entangled
N6_noise,0.00013389663076379676,0.00011184593705371171,0.0006672608671010067,8.934398194535435e-08,0,0.0,3,weak_joint_entangled
N3_noise,0.00013320766972291231,1.7136600662492896e-05,0.0006237069342711361,8.308254730427967e-08,0,0.0,3,weak_joint_entangled
N5_noise,0.00017522721976037658,6.678086369849012e-05,0.0001191523774715617,2.0878739832180685e-08,0,0.0,3,weak_joint_entangled
N2_noise,1.9327891707110467e-05,1.0330941773606384e-05,0.00015957604234011845,3.0842684653990843e-09,0,0.0,3,weak_joint_entangled
N4_noise,1.119401744631432e-07,9.368634604633996e-05,0.00010965917832617977,1.2275267553317494e-11,0,0.0,3,weak_joint_entangled
N1_noise,1.1339549721434139e-07,8.804504522785805e-06,5.741074563301138e-05,6.510120046501404e-12,0,0.0,3,weak_joint_entangled
P1_weak_proxy,0.13012151400884409,0.03486237266699299,0.01556454145690548,0.002025281699225961,0,0.0,4,weak_joint_entangled
P3_weak_proxy,0.12372410463701522,0.025418325248619755,0.009261151737463077,0.0011458277066251571,0,0.0,4,weak_joint_entangled
