dataset,model,selector,selector_family,selector_lambda,method_label,accuracy_mean,accuracy_std,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,f1_mean,f1_std,f1_count,auroc_mean,auroc_std,auroc_count,dpd_mean,dpd_std,dpd_count,dpr_mean,dpr_std,dpr_count,equal_opportunity_difference_mean,equal_opportunity_difference_std,equal_opportunity_difference_count,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_count,joint_subset_mi_sensitive_mean,joint_subset_mi_sensitive_std,joint_subset_mi_sensitive_count,sensitive_attacker_balanced_accuracy_mean,sensitive_attacker_balanced_accuracy_std,sensitive_attacker_balanced_accuracy_count
Adult,gradient_boosting,BasicFACMIM_k8_lambda0.0,Basic FA-CMIM,0.0,"Basic FA-CMIM, lambda=0",0.8333333333333334,0.005981452814975471,5,0.7305198243131088,0.019520503355797886,5,0.6079710859501751,0.030050955183050457,5,0.8858150324769433,0.007298971916522509,5,0.16866149864998134,0.034367085644030695,5,0.2871091592278466,0.06500582951348388,5,0.1289988354065698,0.09431175395192706,5,0.13903682955964508,0.08409547717132307,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,gradient_boosting,BasicFACMIM_k8_lambda0.5,Basic FA-CMIM,0.5,"Basic FA-CMIM, lambda=0.5",0.8437333333333333,0.007653612073901954,5,0.7336830206957409,0.01907087671648409,5,0.6183380552671462,0.03137545906248798,5,0.9018210431759466,0.0100635951542134,5,0.1688640970262338,0.022630481308876245,5,0.23038407074098738,0.05562736512758096,5,0.1649912198322793,0.046742514357657486,5,0.1649912198322793,0.046742514357657486,5,0.4896517078869934,0.03201532298349022,5,0.734137808702074,0.013626006446988437,5
Adult,gradient_boosting,BasicFACMIM_k8_lambda1.0,Basic FA-CMIM,1.0,"Basic FA-CMIM, lambda=1",0.8308,0.006487595000374822,5,0.6898386156125983,0.011103524734059135,5,0.5448474062152526,0.02177820354698272,5,0.8423410053793056,0.007287701482026959,5,0.07235993707337367,0.003898123677678987,5,0.5159493835584119,0.03418272238237079,5,0.052846065847912536,0.029181340499395834,5,0.053802087285491365,0.027207041306377116,5,0.26302378698133405,0.010254962810042801,5,0.5563447146969207,0.01995987256498904,5
Adult,gradient_boosting,BasicFACMIM_k8_lambda2.0,Basic FA-CMIM,2.0,"Basic FA-CMIM, lambda=2",0.8308,0.006487595000374822,5,0.6898386156125983,0.011103524734059135,5,0.5448474062152526,0.02177820354698272,5,0.8423643577366295,0.007257248682566644,5,0.07235993707337367,0.003898123677678987,5,0.5159493835584119,0.03418272238237079,5,0.052846065847912536,0.029181340499395834,5,0.053802087285491365,0.027207041306377116,5,0.26302378698133405,0.010254962810042791,5,0.555224011296087,0.019931858481602668,5
Adult,gradient_boosting,CMIM_k8,CMIM,,CMIM,0.8333333333333334,0.005981452814975471,5,0.7305198243131088,0.019520503355797886,5,0.6079710859501751,0.030050955183050457,5,0.8858150324769433,0.007298971916522509,5,0.16866149864998134,0.034367085644030695,5,0.2871091592278466,0.06500582951348388,5,0.1289988354065698,0.09431175395192706,5,0.13903682955964508,0.08409547717132307,5,0.5883442850429316,0.007033753597360757,5,0.8505469191583195,0.013465602292155845,5
Adult,gradient_boosting,FairCFS_k8_lambda0.0,FairCFS-style,0.0,"FairCFS-style, lambda=0",0.8445333333333334,0.013600653579066582,5,0.744432694129084,0.023671193070454833,5,0.6330651581288412,0.04132162382392522,5,0.8994113727023866,0.019584954714817603,5,0.1608089896409373,0.018390495458940056,5,0.30436927006866704,0.05241862510536,5,0.08510279971862512,0.03556186125477528,5,0.09336030207978384,0.024029229761583372,5,0.5874491960194538,0.014015355667920233,5,0.8534660796469064,0.017122139503806862,5
Adult,gradient_boosting,FairCFS_k8_lambda0.5,FairCFS-style,0.5,"FairCFS-style, lambda=0.5",0.8544,0.009099450532861847,5,0.7556485069030302,0.01807886035839481,5,0.6539080492131786,0.029469922387606644,5,0.9099215814618743,0.010598363740479134,5,0.159776510819453,0.013954914797949719,5,0.29618871775996347,0.064997224316394,5,0.09082202931155164,0.053454726232800204,5,0.10385440255388967,0.031536583944318915,5,0.57520541665271,0.009345854998352984,5,0.8565622147159075,0.015687790052225235,5
Adult,gradient_boosting,FairCFS_k8_lambda1.0,FairCFS-style,1.0,"FairCFS-style, lambda=1",0.8546666666666667,0.009345230512584072,5,0.760206697276234,0.024408234862168116,5,0.6588634436848114,0.0378619264406183,5,0.9101450126626978,0.011411515390335842,5,0.18084852081474023,0.010434741446657172,5,0.24505378337777892,0.061595805334934445,5,0.16371390969863464,0.0703745135474222,5,0.1695605151814211,0.05955781100096847,5,0.43841764916420833,0.058411071570715734,5,0.7608909404892514,0.027995913419618098,5
Adult,gradient_boosting,FairCFS_k8_lambda2.0,FairCFS-style,2.0,"FairCFS-style, lambda=2",0.8462666666666667,0.01760429240586254,5,0.7444432101736058,0.0317655301290545,5,0.6335502587495572,0.05391834917742048,5,0.8948643860480547,0.031816402802640295,5,0.1589896201070592,0.030769020958944255,5,0.3018986567500209,0.07568646977148007,5,0.12258697018901679,0.04162351668491106,5,0.12364277200496776,0.040824016493308767,5,0.3788305176438759,0.08450442390904846,5,0.7070344614840376,0.04794577799977671,5
Adult,gradient_boosting,FairLasso_k8_lambda0.0,FairLasso-style,0.0,"FairLasso-style, lambda=0",0.8291999999999999,0.007935853941308281,5,0.7308942786205205,0.015936085169580408,5,0.6067611236571612,0.026401836908957598,5,0.8850411653084542,0.005253465097447621,5,0.166667255047049,0.022314194059757417,5,0.31582605806190545,0.050467442045877005,5,0.10621601136111476,0.04432253484899545,5,0.11595092775929401,0.024330883181548916,5,0.576445714221397,0.006429204743589139,5,0.8556399449843237,0.014223448455443159,5
Adult,gradient_boosting,FairLasso_k8_lambda0.5,FairLasso-style,0.5,"FairLasso-style, lambda=0.5",0.8328,0.010202396232694016,5,0.7364836956537962,0.021107700254768557,5,0.6157343485009299,0.03526788220157361,5,0.8855517108863655,0.005443749111398038,5,0.18379513942205905,0.023037495003033214,5,0.26538982808777145,0.04641741993084888,5,0.1624010888672555,0.08440559990435494,5,0.16809646077971802,0.07809611680632852,5,0.5573351582575791,0.021123727437034077,5,0.8105032326974705,0.04060478502365481,5
Adult,gradient_boosting,FairLasso_k8_lambda1.0,FairLasso-style,1.0,"FairLasso-style, lambda=1",0.8332,0.008924373616363522,5,0.7371171833172137,0.020223862679623516,5,0.6167542619758575,0.03356899170697234,5,0.8851178215717708,0.006097529220044893,5,0.19255585648302734,0.015615780807276436,5,0.2379459727990454,0.02222717208843959,5,0.18740106711374885,0.0789168386232904,5,0.19309643902621138,0.0696175635060219,5,0.5474785209315205,0.008975293886573157,5,0.7780551249448537,0.017367666488014646,5
Adult,gradient_boosting,FairLasso_k8_lambda2.0,FairLasso-style,2.0,"FairLasso-style, lambda=2",0.8320000000000001,0.008273115763993925,5,0.7356011415350736,0.019925594912870326,5,0.6141148325721643,0.032682458722117745,5,0.8850927612933347,0.006129825422626602,5,0.19152020784857354,0.016935286092050163,5,0.2416317378162843,0.02893636566479808,5,0.18103982115905626,0.07146595389161546,5,0.1867351930715188,0.06177940150005985,5,0.5558949683718817,0.012282476555608398,5,0.7674403325711037,0.02950738532981297,5
Adult,gradient_boosting,FairmRMR_k8_lambda0.0,fair-mRMR,0.0,"fair-mRMR, lambda=0",0.8569333333333333,0.007882470002057313,5,0.76259983553355,0.01665711650264123,5,0.6640448361149547,0.027666375339032004,5,0.9132343838216137,0.009977066443158777,5,0.16803785022384926,0.017660618244157097,5,0.28504961373284604,0.06815839392848091,5,0.11706636753688489,0.06280733019490263,5,0.12643838379309177,0.05014870525106056,5,0.5629270813129003,0.037915209018427695,5,0.830582597137399,0.036525695427498575,5
Adult,gradient_boosting,FairmRMR_k8_lambda0.5,fair-mRMR,0.5,"fair-mRMR, lambda=0.5",0.8505333333333333,0.006788879796320517,5,0.7456110335517236,0.018412161966392646,5,0.6384487455392842,0.02867562074862309,5,0.9082196912115756,0.008887245238875558,5,0.1634562625066441,0.021730496418880415,5,0.2622217081782213,0.06718187929100267,5,0.13227944916267592,0.04858215122509836,5,0.13227944916267592,0.04858215122509836,5,0.46062673822751476,0.044546943805851384,5,0.7318657095362774,0.012038694973220888,5
Adult,gradient_boosting,FairmRMR_k8_lambda1.0,fair-mRMR,1.0,"fair-mRMR, lambda=1",0.8315999999999999,0.00850620688412621,5,0.6961499516175504,0.013194209754987656,5,0.5561063489853051,0.02611460761418936,5,0.8521599926740151,0.012982354613849322,5,0.08881011123817753,0.017258878885892833,5,0.45472543599708304,0.09935968908174912,5,0.055547320953719906,0.06710082477511269,5,0.059501947982216905,0.06341347216123268,5,0.36681651568561224,0.03890922727078216,5,0.6016607572103474,0.038624846984797824,5
Adult,gradient_boosting,FairmRMR_k8_lambda2.0,fair-mRMR,2.0,"fair-mRMR, lambda=2",0.8297333333333332,0.009702233419854066,5,0.6916791389306619,0.01588851240710286,5,0.5475927446438649,0.030817592043806026,5,0.8505623050666973,0.013876875757259459,5,0.08635967793985821,0.01999084890809227,5,0.45945838770827807,0.10380107586455455,5,0.05588105881779758,0.06678277024289385,5,0.05838306686333579,0.06445278538377407,5,0.37936004086314956,0.023628103905433438,5,0.5945989889471053,0.03770054011381914,5
Adult,gradient_boosting,ProxyRank_k8_lambda0.0,ProxyRank,0.0,"ProxyRank, lambda=0",0.8293333333333333,0.007318166133366685,5,0.7349763549507268,0.019386191950164167,5,0.611794955885795,0.030008967678505326,5,0.8855765692622709,0.005841095159508005,5,0.17325201605737323,0.033065714035426096,5,0.3135760385262689,0.06641032309057296,5,0.11938842998561303,0.06732256732306638,5,0.12779223659077849,0.05730022654728038,5,0.5803235973474553,0.008199479843372293,5,0.8516509848239739,0.017062349548272362,5
